ubigeo,year,tb,tbfp,population
150106,2022,360,199,423894
150107,2022,25,22,45091
150108,2022,354,268,367099
150109,2022,21,13,40193
150110,2022,619,390,586914
150111,2022,280,221,229426
150112,2022,375,246,228121
150113,2022,308,216,83904
150114,2022,90,47,165020
150115,2022,359,279,189594
150116,2022,56,44,61689
150117,2022,233,170,358910
150118,2022,283,189,302599
150119,2022,56,40,114024
150120,2022,17,16,67761
150121,2022,24,15,97568
150122,2022,63,42,113503
150123,2022,108,86,152268
150124,2022,12,11,17620
150125,2022,429,285,412174
150126,2022,3,3,23470
150127,2022,6,2,8808
150128,2022,305,187,182882
150129,2022,3,2,9273
150130,2022,10,8,130882
150131,2022,19,11,69409
150132,2022,2234,1615,1225092
150133,2022,495,380,422197
150134,2022,64,53,56302
150135,2022,546,353,770725
150136,2022,133,97,180647
150137,2022,435,316,227530
150138,2022,0,0,1216
150139,2022,13,4,42107
150140,2022,118,87,420016
150141,2022,89,62,102434
150142,2022,517,381,432170
150143,2022,552,358,448775
070101,2023,863,740,535666.4444444445
070102,2023,134,127,81655.11111111111
070103,2023,40,39,47323.944444444445
070104,2023,56,52,64996.27777777778
070105,2023,2,0,3812.5
070106,2023,350,330,402409.8888888889
070107,2023,46,45,55840.333333333336
150101,2023,721,628,263801.72222222225
150102,2023,203,128,97941.55555555556
150103,2023,995,917,715893.8333333334
150104,2023,14,11,36563.22222222222
150105,2023,45,40,95747.5
150106,2023,383,360,443774.1111111111
150107,2023,40,34,45258.333333333336
150108,2023,381,349,370937.72222222225
150109,2023,30,24,41447.88888888889
150110,2023,719,632,590545.9444444445
150111,2023,372,348,232780.88888888888
150112,2023,370,340,228919.33333333337
150113,2023,422,345,85174.38888888889
150114,2023,95,68,166620.55555555556
150115,2023,397,363,188911.55555555556
150116,2023,53,47,61883.27777777778
150117,2023,248,230,361162.6111111111
150118,2023,363,306,311304.8333333333
150119,2023,73,64,118879.77777777778
150120,2023,17,16,68944.5
150121,2023,15,13,99187.77777777778
150122,2023,87,63,115441.61111111112
150123,2023,95,89,160457.94444444444
150124,2023,16,16,18057.944444444445
150125,2023,419,375,428789.5
150126,2023,4,4,25895.222222222223
150127,2023,9,9,9061.555555555557
150128,2023,306,278,182852.66666666663
150129,2023,4,4,9518.444444444443
150130,2023,19,17,132143.83333333334
150131,2023,12,8,69921.55555555556
150132,2023,2579,2107,1239499.5
150133,2023,504,457,424744.6666666667
150134,2023,87,76,56253.22222222222
150135,2023,528,485,780404.5555555555
150136,2023,110,93,183533.16666666663
150137,2023,487,418,229306.61111111112
150138,2023,1,1,1245.5
150139,2023,20,20,45825
150140,2023,114,102,430963.6666666667
150141,2023,89,73,102965.16666666669
150142,2023,546,460,434108.8333333333
150143,2023,619,540,451946.3888888889
