type,origin,destination,weight
total,150108,150120,985
total,150108,150122,12448
total,150108,150123,374
total,150108,150124,65
total,150108,150125,178
total,150108,150126,108
total,150108,150127,22
total,150108,150128,729
total,150108,150129,92
total,150108,150130,3935
total,150108,150131,8049
total,150108,150132,855
total,150108,150133,4853
total,150108,150134,636
total,150108,150135,571
total,150108,150136,1401
total,150108,150137,913
total,150108,150138,4
total,150108,150139,7
total,150108,150140,10547
total,150108,150141,3323
total,150108,150142,4357
total,150108,150143,1081
total,150109,150101,744
total,150109,150102,2
total,150109,150103,850
total,150109,150104,23
total,150109,150105,58
total,150109,150106,7
total,150109,150107,7
total,150109,150108,101
total,150109,150109,13870
total,150109,150110,22
total,150109,150111,55
total,150109,150112,29
total,150109,150113,141
total,150109,150114,3478
total,150109,150115,370
total,150109,150116,258
total,150109,150117,80
total,150109,150118,110
total,150109,150119,88
total,150109,150120,60
total,150109,150122,322
total,150109,150123,1391
total,150109,150124,2
total,150109,150125,19
total,150109,150126,6
total,150109,150127,3
total,150109,150128,38
total,150109,150129,5
total,150109,150130,382
total,150109,150131,338
total,150109,150132,154
total,150109,150133,79
total,150109,150134,137
total,150109,150135,50
total,150109,150136,95
total,150109,150137,567
total,150109,150140,573
total,150109,150141,112
total,150109,150142,102
total,150109,150143,43
total,150110,150101,23036
total,150110,150102,624
total,150110,150103,2238
total,150110,150104,586
total,150110,150105,2721
total,150110,150106,8117
total,150110,150107,64
total,150110,150108,1689
total,150110,150109,63
total,150110,150110,218557
total,150110,150111,676
total,150110,150112,9723
total,150110,150113,4729
total,150110,150114,2193
total,150110,150115,4817
total,150110,150116,2698
total,150110,150117,26931
total,150110,150118,945
total,150110,150119,794
total,150110,150120,1409
total,150110,150122,5532
total,150110,150123,137
total,150110,150124,85
total,150110,150125,4674
total,150110,150126,49
total,150110,150127,13
total,150110,150128,2815
total,150110,150129,39
total,150110,150130,2484
total,150110,150131,7305
total,150110,150132,2115
total,150110,150133,427
total,150110,150134,683
total,150110,150135,8397
total,150110,150136,4070
total,150110,150137,1877
total,150110,150138,1
total,150110,150139,36
total,150110,150140,3767
total,150110,150141,1650
total,150110,150142,639
total,150110,150143,208
total,150111,150101,14870
total,150111,150102,69
total,150111,150103,5483
total,150111,150104,224
total,150111,150105,1532
total,150111,150106,73
total,150111,150107,46
total,150111,150108,755
total,150111,150109,52
total,150111,150110,351
total,150111,150111,67480
total,150111,150112,519
total,150111,150113,2375
total,150111,150114,2444
total,150111,150115,12131
total,150111,150116,2288
total,150111,150117,1203
total,150111,150118,1065
total,150111,150119,442
total,150111,150120,546
total,150111,150122,1892
total,150111,150123,154
total,150111,150124,28
total,150111,150125,271
total,150111,150126,26
total,150111,150127,12
total,150111,150128,1034
total,150111,150129,15
total,150111,150130,1815
total,150111,150131,2511
total,150111,150132,7525
total,150111,150133,453
total,150111,150134,2421
total,150111,150135,843
total,150111,150136,993
total,150111,150137,6725
total,150111,150138,1
total,150111,150139,11
total,150111,150140,2592
total,150111,150141,868
total,150111,150142,502
total,150111,150143,308
total,150112,150101,10727
total,150112,150102,155
total,150112,150103,1038
total,150112,150104,283
total,150112,150105,1677
total,150112,150106,643
total,150112,150107,20
total,150112,150108,829
total,150112,150109,18
total,150112,150110,3760
total,150112,150111,347
total,150112,150112,82742
total,150112,150113,2052
total,150112,150114,943
total,150112,150115,2706
total,150112,150116,1261
total,150112,150117,10681
total,150112,150118,399
total,150112,150119,393
total,150112,150120,578
total,150112,150122,2592
total,150112,150123,76
total,150112,150124,24
total,150112,150125,1301
total,150112,150126,20
total,150112,150127,5
total,150112,150128,2358
total,150112,150129,15
total,150112,150130,1121
total,150112,150131,3233
total,150112,150132,1112
total,150112,150133,199
total,150112,150134,353
total,150112,150135,6366
total,150112,150136,1509
total,150112,150137,1015
total,150112,150138,1
total,150112,150139,12
total,150112,150140,1666
total,150112,150141,757
total,150112,150142,308
total,150112,150143,106
total,150113,150101,5550
total,150113,150102,17
total,150113,150103,480
total,150113,150104,242
total,150113,150105,1785
total,150113,150106,40
total,150113,150107,14
total,150113,150108,627
total,150113,150109,14
total,150113,150110,139
total,150113,150111,176
total,150113,150112,165
total,150113,150113,20106
total,150113,150114,1246
total,150113,150115,1344
total,150113,150116,1691
total,150113,150117,401
total,150113,150118,120
total,150113,150119,142
total,150113,150120,1133
total,150113,150122,2948
total,150113,150123,45
total,150113,150124,9
total,150113,150125,68
total,150113,150126,10
total,150113,150127,1
total,150113,150128,289
total,150113,150129,3
total,150113,150130,1165
total,150113,150131,5594
total,150113,150132,322
total,150113,150133,133
total,150113,150134,172
total,150113,150135,489
total,150113,150136,2176
total,150113,150137,249
total,150113,150139,4
total,150113,150140,1937
total,150113,150141,655
total,150113,150142,160
total,150113,150143,61
