department,province,district,ubigeo,population_permanent,idh,monetary_poverty,life_expectancy,complete_secondary_edu,years_edu,edu_achievement,family_income,hh_1_nbi_or_more,hh_inadequate_char,overcrowded_hh,hh_wo_sanitation,hh_school_absence,hh_high_economic_dependence,aai,co,ntl,no2,o3,pm25,so2,tmmn,tmmx,new_cases,intra_mob,in_degree,out_degree,degree,in_strength,out_strength,strength,in_closeness,out_closeness,closeness,betweenness,page_rank,alpha,authority,hub
LIMA,LIMA,LIMA,150101,257461,0.746010874,0.07958984,0.9480573981666666,0.782691556,0.6527535211267605,0.7866688025360907,0.6126760539553753,0.07116252462975911,0.00669929447657789,0.05395029555710926,4.195004131443462e-4,0.01076717727070488,0.00312718489798512,0.5897020422669121,0.5320299688092869,0.7078269038504383,0.5950732639626246,0.47030667302577206,0.7448163126123484,0.18554323725055444,0.8599055429668913,0.46930485463594906,335,0.5609364380113279,41,41,82,4.578011653033159,0.8480661399626184,5.426077792995777,0.7416663800204352,5.965154632951858,218.50381459728155,0,0.09836715811582114,42.10201674906972,1,0.550380813784315
LIMA,LIMA,ANCON,150102,59255,0.656473404,0.19246935,0.8898521410000001,0.724031961,0.5168661971830987,0.6781847035829609,0.519715445030426,0.2042511745158703,0.12988426721668386,0.06027271685573508,0.01140139796035292,0.01357854932966655,0.00693250830755127,0.28626099638367425,0.2858522782083029,0.0032113674003383,0.1361647908260777,0.32465278775378237,0.5411170184340788,1,0.3609931526526264,0.2052192939386643,47,0.5991210602211083,39,41,80,0.153372372556759,0.8518899166381181,1.0052622891948773,42.87527602132004,4.818274359117801,218.7717813317553,138,0.0048473490761447875,1.4512083049904154,0.02296829584343893,0.554428340026972
LIMA,LIMA,ATE,150103,579105,0.700430248,0.17174936,0.9337706831666668,0.766107408,0.5660915492957747,0.7270486178521987,0.5588127127789047,0.15927508561384368,0.06852744188865655,0.07487953450313665,0.01255265630208806,0.0143891868957784,0.00679455708094675,0.5596402961073019,0.7601517733689178,0.3868109270768163,0.9892546188150352,0.5891661734538545,0.6576718656095621,0.5748337028824835,0.3632737828099616,0.6558391082294538,737,0.6433281579041297,41,41,82,1.5785123672081471,0.9277923020151858,2.5063046692233324,2.694066173891881,5.134727099021528,200.19362954164208,0,0.03182443342157338,13.35694307238879,0.3357791920738417,0.7568807340567822
LIMA,LIMA,BARRANCO,150104,32895,0.801234733,0.03172325,0.9445979883333334,0.786570743,0.7417112676056338,0.8370298509040454,0.7129284628803245,0.03110568964014986,0.00331096976561819,0.02361244227585606,0,0.00496645464842729,7.841770497516772e-4,0.32357899030344295,0.431282034792115,0.615130121671453,0.3693353153535782,0.4493618879612143,0.6743770990043145,0.3885587583148559,0.8500308243176403,0.24451937838570692,16,0.39469101884456137,41,38,79,0.3660671518203751,0.9298727865498942,1.2959399383702692,9.683091742736678,4.906126751595853,108.63985848738183,0,0.016193671449698327,6.808652599099665,0.08059918383566059,0.9586531361886744
LIMA,LIMA,BREÑA,150105,81222,0.785999689,0.04041467,0.9401354318333331,0.792611895,0.69999295774647885,0.8112263442537342,0.6934251257606491,0.05240448733035224,0.0051384639523025,0.04099003687142073,0,0.00662901074762689,0.00109829763866007,0.5078308476017752,0.45160294543232954,0.6453086943336893,0.5407942238267146,0.5319860483023006,0.8466789450418923,0.15631929046563192,0.8936603682029355,0.3768551036605136,58,0.4166551134525625,41,41,82,0.6545794525598465,0.8515672449761018,1.5061466975359485,8.917248384276032,5.107506544658403,250.825646975349,4,0.025949592421217978,10.654960864975214,0.1383399221680938,0.9424952671566841
LIMA,LIMA,CARABAYLLO,150106,320618,0.662879143,0.19176021,0.9129094821666668,0.744076833,0.5386971830985916,0.7012715354747955,0.5039577200811359,0.18176793671629415,0.09055004778518544,0.0769283913088535,0.01416283809458012,0.0141513235920642,0.00777228919824519,0.5222382316096642,0.6484890189395154,0.06237602116322668,0.6449777022722447,0.2527624706227224,0.4210152331948493,0.541308203991131,0.18424543341725572,0.24440422847590143,339,0.557945965614482,38,41,79,0.1477532807277241,0.9026555294689873,1.0504088101967113,33.81025306614368,4.884007102280046,229.0233970320566,61,0.005569558018611158,1.7821959679754396,0.028161192105382756,0.6175896055189061
LIMA,LIMA,CHACLACAYO,150107,41235,0.727064248,0.09712625,0.9627281746666666,0.780766852,0.6313380281690141,0.779619719771638,0.5686211744421906,0.08955755363660643,0.01335351197364907,0.05252381376301967,0.01157304371049586,0.01094987981839223,0.00676577939998219,0,0.4337978713141903,0.0727348960231288,0.8216606498194947,0,0.22403303315864156,0.5674944567627496,0,0.4628450511379288,56,0.5180892167193537,41,39,80,0.11540972759781873,0.9460641399416908,1.06147386753951,55.10079819711386,4.744919845169868,109.99792607539273,118,0.005352193503290906,1.7658227719280906,0.02247364479300553,0.7294433056057522
LIMA,LIMA,CHORRILLOS,150108,304295,0.738221736,0.1160839,0.935828535,0.770687263,0.6205281690140845,0.7620419721607748,0.6216477419878296,0.10578649857175572,0.0370740879123528,0.05727440369294556,0.00341091250949149,0.01163085007653461,0.00444744422615675,0.37474661710748014,0.4227917296376092,0.45183027996655384,0.2785304735612656,0.34566078067449746,0.4798547326307573,0.532328159645233,0.8662992335189065,0.2978138966838198,301,0.5969723901677787,41,41,82,1.0206575881139368,0.9271560202919555,1.947813608405892,4.239874694984991,5.03157830134492,209.17314042518584,0,0.02900649626595801,12.420345000377866,0.21672451044806157,0.8512665797331249
LIMA,LIMA,CIENEGUILLA,150109,32697,0.650977805,0.17529394,0.8833725448333333,0.699186992,0.5178098591549297,0.6763275929765694,0.5190065273833672,0.22924243998752988,0.1387301257404136,0.08043229762028474,0.02275797568325886,0.01205445287332432,0.00644289722539748,0.2632804629612476,0.29472073057011455,0.00768161332877796,0.5287746867700148,0.44216193852749947,0.1862535933522856,0.6217073170731708,0.12583732604132705,0.5669469334771642,20,0.5492416742565239,40,39,79,0.05427213720101223,0.9576561539137313,1.0119282911147431,48.49250482278239,4.74475540693217,97.31084380297769,121,0.0044074873813453996,1.3629246797779517,0.0113774275732424,0.7531940542567416
LIMA,LIMA,COMAS,150110,504617,0.7081597,0.16044523,0.943867193,0.782665066,0.582894366197183,0.7417377361561492,0.5570572486815415,0.12953000919186897,0.04477645676054428,0.06841161490589635,0.00882268734083751,0.01457137260220303,0.00718774015641245,0.7500900461500493,1,0.4100326904019854,0.8214907623699299,0.20035741169574747,0.6522331471152117,0.6564966740576498,0.6910766262965486,0.4463322041719661,570,0.5806863862563334,40,41,81,0.5439894722739312,0.8937777214548219,1.4377671937287535,29.38234790072046,4.968180359934506,288.1360312372375,68,0.010945010633494632,3.901003747636893,0.1002562496970875,0.7286265335474803
