ubigeo,sradiation
010101,220.88526491666667
010102,218.01753873333334
010103,223.35637868333333
010104,219.37205408333332
010105,217.71301344166667
010106,224.29038976666666
010107,217.62616244166668
010108,218.5954572
010109,220.87375075
010110,225.47845515
010111,222.27544599166666
010112,220.389861125
010113,220.04747586666667
010114,217.75138604166668
010115,220.29193188333332
010116,218.07228369166666
010117,217.95946776666668
010118,220.95843375
010119,219.93965611666667
010120,221.539692925
010121,218.8451525
010201,227.63109788333333
010202,221.85350350833332
010203,219.59853915
010204,222.64273973333334
010205,220.893103475
010206,220.564373575
010301,217.2628062
010302,217.63650153333333
010303,218.95763365833332
010304,216.17328276666666
010305,215.945522725
010306,215.85652641666667
010307,216.17239005
010308,218.48913305833332
010309,216.662748825
010310,214.117940225
010311,218.93665574166667
010312,214.169638875
010401,214.96141284166666
010402,211.90870365
010403,204.76441275833332
010501,223.19802403333333
010502,222.90639996666667
010503,226.24402758333332
010504,224.60830699166667
010505,223.42150375
010506,224.94956744166666
010507,224.00554386666667
010508,224.17488123333334
010509,223.47747471666668
010510,222.1828518
010511,227.75433530833334
010512,222.99612319166667
010513,224.42788813333334
010514,224.20754275000002
010515,224.70211920833333
010516,221.95544224166667
010517,226.68898215833335
010518,218.04578949166665
010519,224.77629638333335
010520,220.274250075
010521,225.83167686666667
010522,226.64287341666667
010523,223.536009825
010601,215.80622455
010602,216.88608054166667
010603,219.71804135
010604,216.962863475
010605,218.59925261666666
010606,217.69717719166667
010607,216.81409920833335
010608,216.34042085
010609,216.78981068333334
010610,215.72632725
010611,216.12047265
010612,220.21206216666667
010701,227.431626675
010702,211.335058925
010703,229.50537833333334
010704,231.858926825
010705,220.20937671666667
010706,223.48143031666666
010707,227.25008796666668
020101,252.22959567499998
020102,250.983685225
020103,253.287771775
020104,253.76023789166666
020105,250.79868939166667
020106,257.07938290833334
020107,258.11965260833335
020108,248.35404185833335
020109,256.1032999083333
020110,254.77077383333332
020111,255.42969382500002
020112,245.738961075
020201,256.02195364166664
020202,254.408909575
020203,257.33201230000003
020204,258.03137737500003
020205,251.31224525833332
020301,233.7549689
020302,233.44548138333334
020303,234.31761876666667
020304,235.54970161666665
020305,238.71820538333333
020306,238.14410124166668
020401,247.14656430833332
020402,245.757665575
020501,254.93982153333334
020502,248.67423630000002
020503,253.90639075
020504,250.34428724166668
020505,255.82533954166666
020506,253.63078615833334
020507,259.708781275
020508,247.83812853333333
020509,249.38106709166667
020510,253.85485294166668
020511,249.31704371666666
020512,248.107027
020513,247.899081575
020514,256.52495109166665
020515,256.42901370833334
020601,251.10819666666666
020602,250.07380535
020603,250.64685821666666
020604,258.841909575
020605,255.907272225
020606,246.98169978333334
020607,248.12653095833332
020608,244.77125459166666
020609,247.03366553333333
020610,250.64685821666666
020611,257.81323365
020701,241.52859269166666
020702,238.30222958333334
020703,239.32494636666667
020801,264.83393523333336
020802,259.11367648333334
020803,266.97408153333333
020804,260.98066090833333
020901,243.03369061666666
020902,239.66402839166668
020903,242.32415301666666
020904,238.87913765833332
020905,239.83747411666667
020906,228.61856651666668
020907,244.2251761
021001,245.10532124166667
021002,229.51087478333335
021003,239.87060790833334
021004,247.52781165
021005,229.87941935833334
021006,231.1079422
021007,239.09373011666668
021008,246.91658270833332
021009,238.16231589166668
021010,231.84883459166667
021011,232.39519708333333
021012,234.48568599166668
021013,229.50647235833333
021014,242.64328339166667
021015,237.557173725
021016,230.01322473333335
021101,263.10942208333336
021102,250.75883819166665
021103,264.43961275
021104,254.384150325
021105,250.53874253333333
021201,243.93591266666667
021202,246.45268705833334
021203,251.52094675
021204,246.10883050833334
021205,247.342038275
