ubigeo,sairtemp
010101,287.09763890833335
010102,284.90125989166665
010103,288.86393569166665
010104,286.2803996083333
010105,285.26924525
010106,286.49945814166665
010107,281.1391377416667
010108,288.0968265
010109,284.43704545833333
010110,281.84143935
010111,286.22574806666665
010112,285.79415290833333
010113,283.67004095
010114,284.37850985833336
010115,285.43096668333334
010116,282.6389655583333
010117,283.2503228333333
010118,286.64073621666665
010119,285.1371228
010120,284.878546475
010121,287.14508006666665
010201,298.8984994416667
010202,294.0367081333333
010203,294.3120427833333
010204,298.098793675
010205,296.01625544166666
010206,295.348401375
010301,285.785571325
010302,284.6080758416667
010303,289.5862728833333
010304,287.0278776916667
010305,288.2041979416667
010306,287.593877525
010307,289.9882085666667
010308,284.9394095416667
010309,286.679080775
010310,287.7226409333333
010311,287.23225096666664
010312,290.6214279833333
010401,298.24945713333335
010402,295.1662650416667
010403,297.2227159583333
010501,287.47683520833334
010502,292.903594825
010503,288.929305775
010504,285.779351475
010505,287.2646016
010506,286.165028925
010507,284.8380533083333
010508,286.61769775833335
010509,286.35140681666667
010510,287.4561966333333
010511,284.21984276666666
010512,290.53392072500003
010513,289.6795151
010514,288.44227559166666
010515,293.26880723333335
010516,288.4576706583333
010517,285.42845450833335
010518,289.70222701666665
010519,285.9204874166667
010520,288.0211518666667
010521,285.71836229999997
010522,286.0890240416667
010523,286.94113998333336
010601,288.5000153583333
010602,290.08050311666665
010603,287.00516346666666
010604,290.729810275
010605,288.4151062083333
010606,288.74611276666667
010607,286.84458145
010608,290.2825959666667
010609,288.428854925
010610,290.805287675
010611,290.31423879166664
010612,287.1089859
010701,294.81947943333336
010702,290.5945490666667
010703,295.0974841916667
010704,298.8813264
010705,291.8446786083333
010706,292.294007975
010707,294.17354071666665
020101,278.6743450083333
020102,283.61278704166665
020103,287.148529575
020104,284.0860675916667
020105,278.6920834
020106,279.4325736916667
020107,277.6136018916667
020108,278.1790436333333
020109,288.5562970666667
020110,282.699737225
020111,278.9924298
020112,278.65465516666666
020201,278.17122689999997
020202,285.45698669166666
020203,280.23730193333336
020204,278.04722860833334
020205,279.92501603333335
020301,282.8615580083333
020302,282.29052321666666
020303,284.01804054166666
020304,281.2626348
020305,278.99459624166667
020306,279.71033358333335
020401,277.39596750833334
020402,280.83077505
020501,280.643769225
020502,286.6081899166667
020503,288.5385227666667
020504,276.49769054166666
020505,279.2468032333333
020506,282.429691725
020507,290.5720181666667
020508,277.62194055
020509,278.1319736916667
020510,279.8691943333333
020511,283.49988898333334
020512,283.79743034166665
020513,277.43160679166664
020514,279.4216547666667
020515,279.69329915000003
020601,279.9590401
020602,283.8899963416667
020603,285.60858663333335
020604,281.13150260833334
020605,279.9257039666667
020606,278.81954379166666
020607,284.1186421666667
020608,276.33737160833334
020609,276.610108675
020610,285.60858663333335
020611,279.04616615
020701,280.8498519666667
020702,283.39961469166667
020703,282.15904135
020801,296.80910014166665
020802,295.434754475
020803,297.35369891666664
020804,293.4679701333333
020901,282.6162784083333
020902,281.0340805
020903,289.38058766666666
020904,279.3577102666667
020905,286.60724439166665
020906,282.07469746666663
020907,290.8815581833333
021001,277.94254183333334
021002,279.77653610833335
021003,279.4075301666667
021004,277.01451635
021005,280.0561203333333
021006,279.9703108666667
021007,280.752029825
021008,278.419743475
021009,282.8417611333333
021010,281.57575821666666
021011,279.9299108583333
021012,283.35813395
021013,279.875640025
021014,277.7446199
021015,277.8289511666667
021016,283.8005408583333
021101,293.77174998333334
021102,286.946780825
021103,295.20604963333335
021104,287.7368501916667
021105,283.96988775
021201,280.956143425
021202,287.5155998
021203,283.82955539166664
021204,283.9725038
021205,282.3729886666667
021206,281.95553155
021207,280.91927585
021208,277.745197275
021209,280.4769976416667
021210,279.45872214166667
021301,282.0106956916667
021302,281.93730193333334
021303,283.81935119166667
021304,283.00519061666665
021305,283.9544600583333
021306,281.23757550833335
021307,281.63078164166666
021308,283.5632824
021401,279.825214975
021402,285.8585482583333
021403,278.177885225
021404,285.54639503333334
021405,292.799230675
021406,281.12172936666667
021407,280.97133437499997
021408,280.533779325
021409,291.63271035
021410,282.298422375
021501,281.14803694166665
021502,288.91636098333333
021503,280.04849185833336
021504,284.6851637333333
021505,281.59983630833335
021506,282.09010646666667
021507,286.00960207500003
021508,286.4829792
021509,280.36201000833336
021510,291.2170584583333
021511,287.24531736666665
021601,279.6528255333333
021602,281.2934986833333
021603,284.18323176666667
021604,282.57930815000003
021701,280.0580679583333
021702,277.816194375
021703,279.1071701916667
021704,283.0908276916667
021705,286.9225779
021706,282.51140825
021707,279.7034622333333
021708,287.15731171666664
021709,280.6291866166667
021710,279.329872325
021801,295.41177915000003
021802,286.4425693
021803,0
021804,287.37572851666664
021805,293.8647166833333
021806,297.18507230833336
021807,297.281901925
021808,295.84399995833337
021809,296.8216613833333
021901,282.36637356666665
021902,285.7216468666667
021903,283.87199589166664
021904,281.66869413333336
021905,280.2484397
021906,282.8147536916667
021907,284.759251525
021908,279.49853755000004
021909,280.82121431666667
021910,283.33532495833333
022001,279.1010112916667
022002,279.00686616666667
022003,281.6009918
022004,285.130109425
022005,282.97285526666667
022006,282.45733010833334
022007,278.12791326666667
022008,278.73652960833334
030101,283.10248236666666
030102,280.79438120833333
030103,280.23757224166667
030104,282.37700060833333
030105,285.7541408
030106,280.97269745833336
030107,283.78263295833335
030108,284.8264622666667
030109,281.584316925
030201,281.0321557166667
030202,287.74971715833334
030203,281.13874411666666
030204,285.17430033333335
030205,282.08851235
030206,281.18185551666664
030207,281.20506013333335
030208,287.8625393166667
030209,284.0368254333333
030210,279.9081702666667
030211,280.50184385
030212,284.48795433333333
030213,280.3103669
030214,282.46093234166665
030215,281.16937975
030216,284.44110305833334
030217,279.4289818
030218,280.77587809166664
030219,288.28223729166666
030220,279.36218311666664
030301,277.09900511666666
030302,279.13984658333334
030303,278.31521613333337
030304,277.07719111666665
030305,276.8060026666667
030306,279.859871075
030307,279.90714536666667
030401,280.9375165916667
030402,281.50867470000003
030403,278.4489667666667
030404,282.50139516666667
030405,282.89600141666665
030406,278.08232699166666
030407,283.32601136666665
030408,283.4207930416667
030409,280.299873375
030410,281.6347623
030411,281.05386245
030412,279.77512570833335
030413,281.6363187416667
030414,282.5859487083333
030415,283.44804048333333
030416,280.881107475
030417,281.5708958916667
030501,280.49413535
030502,282.32025377499997
030503,280.1799164083333
030504,279.773383775
030505,281.73144233333335
030506,279.16788943333336
030601,284.0129896583333
030602,281.10300431666667
030603,286.0631885916667
030604,286.36928186666665
030605,284.21600925
030606,284.263110075
030607,283.124750525
030608,281.5008866083333
030609,282.8044365833333
030610,286.07393470833335
030611,285.431602475
030701,278.6656052083333
030702,279.3991581
030703,280.78084735
030704,281.6881004333333
030705,279.70246625
030706,279.97778320833334
030707,278.1417458083333
030708,278.960204325
030709,281.126864
030710,282.170219375
030711,280.0555756333333
030712,282.20506795833336
030713,277.71332466666667
030714,280.2020074
040101,288.69830943333335
040102,284.78039390833334
040103,280.2365891416667
040104,284.17649895
040105,283.1646643166667
040106,281.348342425
040107,288.8639831583333
040108,290.476658375
040109,284.27931391666664
040110,284.8005853583333
040111,286.70799314166663
040112,287.1326167666667
040113,281.73219264166664
040114,283.848757275
040115,286.00958368333335
040116,286.96660706666665
040117,288.8644798166667
040118,291.4730434333333
040119,277.522064975
040120,290.4611642
040121,291.31760936666666
040122,288.83837945
040123,288.8272352833333
040124,289.17336016666667
040125,290.89482128333333
040126,288.73157457499997
040127,285.77751478333334
040128,282.14997048333333
040129,288.8639831583333
040201,0
040202,292.28278350833335
040203,289.88239309166664
040204,290.5921495416667
040205,290.95743675
040206,289.2864602833333
040207,291.48660332500003
040208,292.544579175
040301,288.35023681666667
040302,291.0016726333333
040303,288.74273815833334
040304,289.6330584
040305,292.65906499166664
040306,284.1880413833333
040307,293.226965675
040308,288.79524440833336
040309,286.019809975
040310,290.49621155833336
040311,292.57754931666665
040312,284.16890195
040313,291.70775460833335
040401,291.9825609916667
040402,279.36977515
040403,284.80837964166665
040404,276.34522955
040405,280.27524943333333
040406,278.5417438083333
040407,291.23737090833333
040408,279.05221500833335
040409,277.075048025
040410,279.65174886666665
040411,286.6400731
040412,286.43755343333333
040413,291.99629689166665
040414,278.5597514666667
040501,277.5457598666667
040502,277.758860925
040503,279.19542355833335
040504,277.69753576666665
040505,276.88603545
040506,278.942049375
040507,282.7726642916667
040508,281.34696503333333
040509,278.93646213333335
040510,276.146148625
040511,281.52088461666665
040512,276.45589901666665
040513,277.784594975
040514,277.44195915833336
040515,278.03138695
040516,277.3865273833333
040517,278.0658452083333
040518,277.12800707499997
040519,277.3890049666667
040520,290.8384497166667
040601,285.81215373333333
040602,284.4748394083333
040603,276.7758589
040604,285.11995544166666
040605,286.52614028333335
040606,292.26382935
040607,276.28052635833336
040608,288.55775865
040701,290.4793769
040702,291.3573996833333
040703,293.5007015666667
040704,290.2180331833333
040705,292.194323275
040706,292.8897780583333
040801,279.4682452916667
040802,278.44991608333333
040803,281.7097837833333
040804,276.68133950833334
040805,277.362745975
040806,275.72410982499997
040807,284.432558475
040808,288.2838846166667
040809,286.3487766083333
040810,278.6845028083333
040811,285.15585996666664
050101,286.138871175
050102,280.9045507
050103,282.26591445
050104,283.525468975
050105,280.6008080583333
050106,284.63627190833336
050107,287.0489397416667
050108,283.7746245833333
050109,283.84757629166666
050110,284.48200719166664
050111,285.15587370000003
050112,281.5348823083333
050113,284.9841086833333
050114,279.50210558333333
050115,286.09347740833334
050116,286.2451343083333
050201,283.6540277666667
050202,279.1881065416667
050203,281.479780525
050204,281.74457870833334
050205,277.74416735
050206,280.1917460916667
050301,278.57680961666665
050302,280.769803525
050303,278.9209698833333
050304,278.3284321583333
050401,282.57158675
050402,282.61301903333333
050403,281.9251641833333
050404,283.9156715583333
050405,283.4558002416667
050406,280.9451556416667
050407,287.8440586166667
