ubigeo,ntl
040124,1.5152435
040125,0.3457023
040126,52.8746558
040127,2.5958388
040128,0.5562812
040129,40.6847416
040201,9.3226467
040202,3.6973514
040203,0.2879343
040204,0.3945286
040205,0.3705743
040206,0.2926286
040207,0.2962681
040208,2.2957918
040301,0.303606
040302,0.3187449
040303,0.2417783
040304,0.2877741
040305,0.2966618
040306,0.2095815
040307,0.917171
040308,0.2843033
040309,0.3035278
040310,0.2924763
040311,0.2991618
040312,0.2237334
040313,0.2936037
040401,0.345128
040402,0.2724328
040403,0.2282171
040404,0.2442312
040405,0.4353708
040406,0.2382013
040407,0.4093358
040408,0.2506726
040409,0.4301916
040410,0.2791061
040411,0.2954876
040412,0.2219719
040413,0.3208136
040414,0.2831183
040501,0.336862
040502,0.2299898
040503,0.2517763
040504,0.2680108
040505,0.3215334
040506,0.3786996
040507,0.2350348
040508,0.2769144
040509,0.3044267
040510,0.2627988
040511,0.2445853
040512,0.2755182
040513,0.2893172
040514,0.3312775
040515,0.2681562
040516,0.5690098
040517,1.899362
040518,0.2320204
040519,0.2462963
040520,0.699742
040601,0.2517141
040602,0.2419636
040603,0.2825308
040604,0.2252856
040605,0.2647269
040606,0.2963649
040607,0.2339101
040608,0.2677531
040701,0.664218
040702,0.3324557
040703,0.9985448
040704,0.7956446
040705,0.8843206
040706,0.3692754
040801,0.4625825
040802,0.331681
040803,0.3288247
040804,0.2664254
040805,0.2481003
040806,0.2524184
040807,0.2823031
040808,0.2441503
040809,0.2330738
040810,0.3228867
040811,0.2621324
050101,5.1978757
050102,0.4104644
050103,0.3765292
050104,8.4973741
050105,0.4112598
050106,0.3558453
050107,0.5440524
050108,0.5873086
050109,0.3719493
050110,17.6770713
050111,0.3607204
050112,0.4244308
050113,1.1228172
050114,0.3120344
050115,7.8914963
050116,19.32155
050201,0.4551599
050202,0.297645
050203,0.3398005
050204,0.7071679
050205,0.269275
050206,0.2985275
050301,0.2517289
050302,0.3089331
050303,0.2423171
050304,0.270154
050401,1.5303523
050402,0.404748
050403,0.4563887
050404,0.4939888
050405,0.4809381
050406,0.3876027
050407,0.3525018
050408,0.3350577
050409,0.3233818
050410,0.3962655
050411,0.4198414
050412,0.6231448
050501,0.518285
050502,0.4270874
050503,0.5234374
050504,0.3056428
050505,0.3032846
050506,0.3292405
050507,0.6730313
050508,1.2234139
050509,0.3446683
050510,0.3263775
050511,0.3218836
050601,0.3611537
050602,0.2863891
050603,0.2848203
050604,0.258639
050605,0.3821437
050606,0.2572653
050607,0.2709787
050608,0.2422398
050609,0.2576595
050610,0.239508
050611,0.2569035
050612,0.2545266
050613,0.2739339
050614,0.243213
050615,0.2420953
050616,0.385734
050617,0.2609448
050618,0.2534998
050619,0.3188206
050620,0.4030263
050621,0.2516592
050701,0.2804612
050702,0.2895819
050703,0.3231745
050704,0.2479105
050705,0.249997
050706,0.2633584
050707,0.2531315
050708,0.2346064
050801,0.3074608
050802,0.2459938
050803,0.2858697
050804,0.2649796
050805,0.2468559
050806,0.4983866
050807,0.2746215
050808,0.2475878
050809,0.2620965
050810,0.3053877
050901,0.3215231
050902,0.3026429
050903,0.3184653
050904,0.3564637
050905,0.2810073
050906,0.2850868
050907,0.2630077
050908,0.2826008
050909,0.2647035
050910,0.2816297
050911,0.2629608
051001,0.3448954
051002,0.367897
051003,0.2860408
051004,0.3065917
051005,0.5427522
051006,0.3380782
051007,0.3504818
051008,0.3531789
051009,0.3285577
051010,0.3158037
051011,0.2838771
051012,0.2540807
051101,0.4652639
051102,0.2880953
051103,0.3456821
051104,0.3232207
051105,0.2998426
051106,0.2956477
051107,0.3312739
051108,0.3301329
060101,4.7302019
060102,0.4285234
060103,0.4361103
060104,0.3504433
060105,1.0295599
060106,0.6931245
060107,1.1995263
060108,2.0881553
060109,0.4698127
060110,0.7854705
060111,0.5703039
060112,0.531988
060201,1.0325679
060202,0.8123603
060203,0.5373435
060204,0.4033504
060301,0.6086011
060302,0.3906456
060303,0.3887505
060304,0.4432011
060305,0.5569032
060306,0.6386022
060307,0.3901348
060308,0.3983746
060309,0.4920617
060310,0.4903752
060311,0.4503565
060312,0.427027
060401,0.888999
060402,0.4625071
060403,0.4362377
060404,0.5622697
060405,0.4256358
060406,0.3602458
060407,0.510928
060408,0.4324105
060409,0.4657982
060410,0.7448404
060411,0.4682216
060412,0.3642546
060413,0.4839144
060414,0.4465069
060415,0.4596549
060416,0.3711076
060417,0.4863708
060418,0.3693407
060419,0.4976103
060501,0.4131301
060502,0.5116714
060503,0.3647593
060504,0.3672428
060505,0.4103248
060506,0.363657
060507,0.3755842
060508,0.5489873
060601,0.7667433
060602,0.4699967
060603,0.4409661
060604,0.4267454
060605,0.5528768
060606,0.4170672
060607,0.4196455
060608,0.4768175
060609,0.4530739
060610,0.4711858
060611,0.4152469
060612,0.5210111
060613,0.5079583
060614,0.5380924
060615,0.4380831
060701,0.6523629
060702,1.7524094
060703,2.6078437
060801,1.0898453
060802,0.5306376
060803,0.4368307
060804,0.4206356
060805,0.4175863
060806,0.5421995
060807,0.4110504
060808,0.5568512
060809,0.3521426
060810,0.4599076
060811,0.4127833
060812,0.5116623
060901,0.6794938
060902,0.4673998
060903,0.4173378
060904,0.5130696
060905,0.4152351
060906,0.3850619
060907,0.4078313
061001,0.6849574
061002,0.4527442
061003,0.5091281
061004,0.5579929
061005,0.5132634
061006,0.4806223
061007,0.4068798
061101,0.4810512
061102,0.3939901
061103,0.3587732
061104,0.6890227
061105,0.3589536
061106,0.4691383
061107,0.7020753
061108,0.3531989
061109,0.3827796
061110,0.371435
061111,0.4398968
061112,0.5671913
061113,0.4036634
061201,0.531847
061202,0.5166538
061203,0.5068506
061204,0.4299643
061301,0.8390236
061302,0.5944351
061303,0.4344384
061304,0.4064543
061305,0.4397133
061306,0.4456801
061307,0.9741609
061308,0.502734
061309,0.3809348
061310,0.3797365
061311,0.4199674
070101,81.8252854
070102,105.6930197
070103,114.6714564
070104,96.540631200000007
070105,42.0104007
070106,41.3699353
070107,66.7615309
080101,7.7511143
080102,0.3722508
080103,2.7145969
080104,5.2389843
080105,9.4309299
080106,7.0085557
080107,2.9972
080108,78.8598779
080201,0.4178319
080202,0.4426033
080203,0.3491025
080204,0.5247119
080205,0.367654
080206,0.3306014
080207,0.4884009
080301,0.7814623
080302,0.4786778
080303,2.1695829
080304,0.4178393
080305,0.4108743
080306,0.4324552
080307,0.3466066
080308,0.9637741
080309,1.4139837
080401,0.6749071
080402,0.5636519
080403,0.5113282
080404,0.2688805
080405,0.7220308
080406,0.5345729
080407,1.0210592
080408,0.307926
080501,0.3648119
080502,0.2944533
080503,0.3111115
080504,0.4628505
080505,0.3842808
080506,0.5900433
080507,0.3252531
080508,0.3779081
080601,0.665488
080602,0.3006294
080603,0.4254916
080604,0.3644901
080605,0.2882891
080606,0.3122374
080607,0.5672608
080608,0.5696649
080701,0.3031905
080702,0.3077014
080703,0.3402091
080704,0.3422619
080705,0.3181184
080706,0.331935
080707,0.5088317
080708,0.7511265
080801,2.0793319
080802,0.27282
080803,0.302758
080804,0.3187205
080805,0.2971116
080806,0.2906454
080807,0.2943165
080808,0.3360995
080901,0.6996747
080902,0.3040564
080903,0.372616
080904,0.4887367
080905,0.3160297
080906,0.3045503
080907,0.3690768
080908,0.3878772
080909,0.305412
080910,0.4125894
080911,0.3231006
080912,0.36755
080913,0.3800666
080914,0.8236444
081001,0.4203215
081002,0.3192323
081003,0.3470672
081004,0.3001252
081005,0.4052577
081006,0.2834728
081007,0.3134719
081008,0.3513736
081009,0.373954
081101,0.4172468
081102,0.4133476
081103,0.3709063
081104,0.33
081105,0.4005918
081106,0.3000087
081201,0.6799829
081202,0.7795066
081203,0.3020234
081204,0.2700955
081205,0.4317718
081206,0.433849
081207,0.4397228
081208,0.6017118
081209,0.2832631
081210,0.3162996
081211,2.0122101
081212,0.3731211
081301,0.8532975
081302,0.9361274
081303,0.8195726
081304,0.7092041
081305,0.7780632
081306,0.4035187
081307,1.1028687
090101,0.7563253
090102,0.3088265
090103,0.4050661
090104,0.490409
090105,0.3594095
090106,0.4550537
090107,0.3718091
090108,0.8218614
090109,0.3339298
090110,0.2732359
090111,0.5432988
090112,0.3107013
090113,0.345693
090114,0.4035267
090115,0.3619894
090116,0.2934363
090117,0.4091533
090118,0.4288772
090119,0.3734191
090201,0.6100011
090202,0.3958324
090203,0.42583530000000003
090204,0.3318889
090205,0.3132967
090206,0.452471
090207,0.5719315
090208,0.4442124
090301,0.3875665
090302,0.4764229
090303,0.3480855
090304,0.8422836
090305,0.3005544
090306,0.3169636
090307,0.2990465
090308,0.3351394
090309,0.3962733
090310,0.3451213
090311,0.2985726
090312,0.275002
090401,0.2707218
090402,0.2793246
090403,0.2672801
090404,0.2530705
090405,0.2799646
090406,0.3496233
090407,0.2727471
090408,0.2826368
090409,0.2883563
090410,0.2466597
090411,0.2870438
090412,0.3018404
090413,0.3223074
090501,0.6666178
090502,0.4354718
090503,0.3888112
090504,0.423778
090505,0.3339245
090506,0.4766182
090507,0.4984634
090508,0.5049774
090509,1.4577591
090510,0.3994874
090511,0.4391273
090601,0.3289073
090602,0.2950698
090603,0.3167639
090604,0.310166
090605,0.2447074
090606,0.3744397
