ubigeo,co
010101,0.032319683333333335
010102,0.030076233333333334
010103,0.033372091666666666
010104,0.032029358333333334
010105,0.03139008333333333
010106,0.03209684166666667
010107,0.0292269
010108,0.0329759
010109,0.031073774999999998
010110,0.029147199999999998
010111,0.031520275
010112,0.031134824999999998
010113,0.0311436
010114,0.031074075
010115,0.030930175
010116,0.029289774999999997
010117,0.029945916666666666
010118,0.03214586666666667
010119,0.031407108333333336
010120,0.03185163333333333
010121,0.032110275
010201,0.043164825
010202,0.039128916666666666
010203,0.038822975
010204,0.04172305
010205,0.04079373333333333
010206,0.039654166666666664
010301,0.03162974166666667
010302,0.03119265
010303,0.032802558333333336
010304,0.0321544
010305,0.03305411666666667
010306,0.032669474999999996
010307,0.034641525
010308,0.030595725
010309,0.03183489166666666
010310,0.03485755
010311,0.03292871666666667
010312,0.035654316666666665
010401,0.043099541666666664
010402,0.04009274166666667
010403,0.0429689
010501,0.032505733333333335
010502,0.036115575
010503,0.033706766666666665
010504,0.031948091666666664
010505,0.03183595
010506,0.032314075
010507,0.030886316666666667
010508,0.031946108333333334
010509,0.032248475
010510,0.032003333333333335
010511,0.030528391666666665
010512,0.03390714166666667
010513,0.03349689166666667
010514,0.03379928333333333
010515,0.03542931666666667
010516,0.03268155
010517,0.030815616666666667
010518,0.03371605
010519,0.030918016666666666
010520,0.03282229166666667
010521,0.030629383333333333
010522,0.030887458333333333
010523,0.031647466666666665
010601,0.035009283333333335
010602,0.03520695833333333
010603,0.03358719166666667
010604,0.03707565
010605,0.03394690833333333
010606,0.03448210833333334
010607,0.032668050000000004
010608,0.03502095833333333
010609,0.03527386666666667
010610,0.036338383333333335
010611,0.03637445833333333
010612,0.03438725833333334
010701,0.03848130833333333
010702,0.035982375
010703,0.038704274999999996
010704,0.0428088
010705,0.035568875
010706,0.036546883333333335
010707,0.03790135833333333
020101,0.025071008333333332
020102,0.029941225
020103,0.031007308333333334
020104,0.03037115
020105,0.025062925
020106,0.026163366666666667
020107,0.025412691666666667
020108,0.025459516666666668
020109,0.033088716666666664
020110,0.028592833333333335
020111,0.026286775
020112,0.0251797
020201,0.024166141666666665
020202,0.030756066666666665
020203,0.0262312
020204,0.024423383333333333
020205,0.026859833333333333
020301,0.030740816666666667
020302,0.028570491666666666
020303,0.030284258333333335
020304,0.029081958333333335
020305,0.02654535
020306,0.02640005
020401,0.024941783333333332
020402,0.02834465
020501,0.02637289166666667
020502,0.030526008333333333
020503,0.031658775
020504,0.024057475000000002
020505,0.025062366666666665
020506,0.02949870833333333
020507,0.033659166666666664
020508,0.024690866666666665
020509,0.025564941666666667
020510,0.026217125
020511,0.02944915
020512,0.0284343
020513,0.025624725
020514,0.027526183333333332
020515,0.026042341666666666
020601,0.027098891666666666
020602,0.0289195
020603,0.028875308333333335
020604,0.027641216666666666
020605,0.027125325
020606,0.0260751
020607,0.028284058333333334
020608,0.024633791666666665
020609,0.025583991666666667
020610,0.029063433333333333
020611,0.027046783333333334
020701,0.027034433333333333
020702,0.0290975
020703,0.028458108333333332
020801,0.03830335
020802,0.037247358333333334
020803,0.039763491666666664
020804,0.03561411666666667
020901,0.028259633333333332
020902,0.026576241666666667
020903,0.031699475
020904,0.0263221
020905,0.03167505833333333
020906,0.029531333333333333
020907,0.032214566666666666
021001,0.02545085
021002,0.02632505
021003,0.025922341666666668
021004,0.024712116666666666
021005,0.025750133333333335
021006,0.027204
021007,0.027617875
021008,0.025357283333333334
021009,0.027864
021010,0.028439108333333334
021011,0.026902416666666668
021012,0.0280932
021013,0.02631435
021014,0.0245105
021015,0.025493116666666666
