ubigeo,o3
010101,0.11691262499999999
010102,0.116851625
010103,0.11630258333333333
010104,0.117069125
010105,0.116538725
010106,0.11602970833333333
010107,0.11725864166666666
010108,0.11693868333333333
010109,0.116512775
010110,0.116565375
010111,0.11672146666666666
010112,0.11652119166666666
010113,0.11648166666666666
010114,0.11683084166666667
010115,0.11660045
010116,0.117152725
010117,0.11667480833333334
010118,0.116626175
010119,0.116678675
010120,0.11694909166666667
010121,0.11667680833333333
010201,0.11717517499999999
010202,0.11721565
010203,0.11684490833333333
010204,0.11699375
010205,0.11765625833333333
010206,0.11665758333333333
010301,0.1170322
010302,0.11735766666666667
010303,0.11661558333333333
010304,0.11745296666666666
010305,0.11694246666666666
010306,0.11725255833333334
010307,0.1167961
010308,0.11703069166666667
010309,0.11664084166666666
010310,0.11658521666666667
010311,0.11660090000000001
010312,0.11750379999999999
010401,0.11770408333333333
010402,0.1174433
010403,0.11745265
010501,0.11692156666666667
010502,0.11669765833333333
010503,0.11657359166666667
010504,0.11664142499999999
010505,0.11685453333333333
010506,0.116689375
010507,0.11647355833333334
010508,0.11693685
010509,0.1170602
010510,0.116585975
010511,0.11652893333333333
010512,0.116478025
010513,0.1165457
010514,0.11647090833333333
010515,0.11659395
010516,0.1169491
010517,0.11660341666666667
010518,0.11682065
010519,0.11674470833333334
010520,0.11650454166666667
010521,0.11655698333333334
010522,0.11695510833333334
010523,0.11727049166666667
010601,0.11644206666666666
010602,0.11709486666666667
010603,0.117109475
010604,0.11679340833333333
010605,0.117162025
010606,0.11699310833333333
010607,0.11680979999999999
010608,0.11700429166666666
010609,0.116551325
010610,0.116742575
010611,0.11687045833333333
010612,0.117346475
010701,0.11730063333333333
010702,0.11718456666666667
010703,0.11680088333333333
010704,0.11731454166666667
010705,0.11722278333333333
010706,0.1166772
010707,0.11675050833333334
020101,0.11613343333333333
020102,0.11648490833333333
020103,0.11690783333333334
020104,0.11646834166666667
020105,0.11627765
020106,0.11583708333333333
020107,0.11652835833333333
020108,0.11602394166666667
020109,0.11653173333333333
020110,0.11669304166666666
020111,0.116728675
020112,0.11615511666666667
020201,0.11635220833333333
020202,0.1162542
020203,0.11643010000000001
020204,0.11625706666666667
020205,0.11660664166666666
020301,0.11627688333333333
020302,0.1166092
020303,0.11631070833333333
020304,0.11673981666666666
020305,0.11650689166666667
020306,0.11655039166666667
020401,0.11658921666666666
020402,0.11678151666666667
020501,0.11615386666666666
020502,0.11604716666666666
020503,0.1162032
020504,0.11606413333333333
020505,0.11691661666666667
020506,0.116172375
020507,0.116644975
020508,0.11617201666666667
020509,0.115793725
020510,0.11689625833333334
020511,0.11580965833333333
020512,0.11583354166666666
020513,0.11596641666666667
020514,0.11643764166666666
020515,0.11665235
020601,0.1158865
020602,0.11536085833333333
020603,0.11572024166666667
020604,0.11558248333333333
020605,0.11613810833333334
020606,0.11603469166666666
020607,0.115891525
020608,0.11675105833333334
020609,0.11584193333333334
020610,0.11603585833333334
020611,0.11584993333333334
020701,0.11634395833333333
020702,0.11649856666666666
020703,0.11646950833333333
020801,0.11712881666666666
020802,0.11676963333333333
020803,0.11745435
020804,0.1165481
020901,0.11580136666666667
020902,0.1155322
020903,0.115976225
020904,0.11619555
020905,0.1160435
020906,0.11633265833333334
020907,0.11636055
021001,0.11667299166666667
021002,0.116483675
021003,0.11638999166666666
021004,0.11623968333333333
021005,0.11642093333333334
021006,0.11736373333333333
021007,0.11632445
021008,0.11677814166666667
021009,0.11651104166666666
021010,0.11690745
021011,0.11636985833333334
021012,0.116260275
021013,0.11749351666666667
021014,0.11593415
021015,0.11643911666666668
021016,0.11656804999999999
021101,0.11738854166666667
021102,0.11624274166666666
021103,0.1170519
021104,0.11617498333333333
021105,0.11626075
021201,0.11593305
021202,0.11617165833333333
021203,0.116249475
021204,0.116491725
021205,0.11650703333333333
021206,0.11691780833333333
021207,0.11619179166666667
021208,0.11621820833333334
021209,0.11669829166666666
021210,0.116201825
021301,0.11594233333333333
021302,0.11593381666666666
021303,0.11624746666666666
021304,0.11613599166666666
021305,0.1161452
021306,0.1163715
021307,0.116318275
021308,0.11599066666666666
021401,0.11687091666666667
021402,0.11653850833333333
021403,0.11637974166666666
021404,0.11644336666666666
021405,0.11730488333333333
021406,0.116916275
021407,0.11637396666666666
021408,0.11637981666666666
021409,0.11707224166666666
021410,0.1167517
021501,0.11566531666666667
021502,0.11591201666666667
021503,0.116185925
021504,0.11571134166666666
021505,0.11565236666666667
021506,0.11584858333333334
021507,0.11558740833333334
021508,0.11576429166666667
021509,0.11596265833333333
021510,0.11605298333333333
021511,0.115757675
021601,0.11623515
021602,0.11627279166666667
021603,0.11622265
021604,0.116276225
021701,0.11619919166666666
021702,0.11618541666666667
021703,0.11683403333333334
021704,0.116668075
021705,0.116211775
021706,0.116533025
021707,0.11700869166666666
021708,0.11643066666666667
021709,0.1169382
021710,0.11624491666666667
021801,0.11695185
021802,0.11658955833333333
021803,0.117073
021804,0.116556725
021805,0.11669758333333333
021806,0.11712159999999999
021807,0.11752345833333333
021808,0.11721331666666666
021809,0.11727641666666666
021901,0.11594018333333334
021902,0.11622996666666667
021903,0.11623848333333334
021904,0.116437225
021905,0.11637716666666667
021906,0.11625715
021907,0.11634894999999999
021908,0.11609405833333333
021909,0.11631598333333333
021910,0.11621188333333334
022001,0.11591305
022002,0.11645561666666666
022003,0.115418575
022004,0.11610724166666667
022005,0.11687075
022006,0.11540638333333333
022007,0.116532325
022008,0.11667246666666667
030101,0.116699125
030102,0.11657521666666666
030103,0.11646308333333333
030104,0.11683309166666667
030105,0.117017175
030106,0.11652785833333333
030107,0.11669423333333333
030108,0.117117925
030109,0.11660520833333334
030201,0.11662875
030202,0.11703875833333333
030203,0.11647713333333333
030204,0.11688523333333334
