ubigeo,swindspeed
010101,3.6792874666666666
010102,3.940173575
010103,3.1667710083333334
010104,3.7793937916666667
010105,3.91823365
010106,3.2014700166666668
010107,3.983119266666667
010108,3.8016272416666665
010109,3.487035475
010110,3.308040175
010111,3.5630986916666667
010112,3.50574745
010113,3.465378
010114,3.9070178083333333
010115,3.5106551666666665
010116,3.9531895
010117,3.9151335333333335
010118,3.752706425
010119,3.5827449833333334
010120,3.692121691666667
010121,3.8023722666666666
010201,4.2879210500000005
010202,4.072776958333333
010203,4.300388533333333
010204,4.269592083333333
010205,3.273903616666667
010206,4.324201958333333
010301,3.9422439833333334
010302,3.846773558333333
010303,4.0135732583333334
010304,3.8531998416666666
010305,4.015532508333333
010306,4.042889125
010307,4.142211991666667
010308,3.933392875
010309,3.9932879666666667
010310,4.175869691666667
010311,3.924240316666667
010312,3.6333387249999998
010401,2.6529299833333333
010402,2.5353014833333334
010403,2.2282940166666667
010501,3.839000975
010502,3.7998700333333333
010503,3.1528610500000003
010504,3.4975325
010505,3.9013000416666666
010506,3.6115524999999997
010507,3.326950591666667
010508,3.6912949333333334
010509,3.789016758333333
010510,3.913392375
010511,3.27724115
010512,3.6654098916666666
010513,3.4294039
010514,3.1992138583333336
010515,3.5441991083333333
010516,3.956072991666667
010517,3.2823150500000002
010518,4.113031666666666
010519,3.3653146333333335
010520,4.045448758333333
010521,3.295192908333333
010522,3.4227106
010523,3.8021361750000002
010601,3.7785099916666667
010602,3.6480706833333336
010603,3.7436226833333333
010604,3.911769825
010605,3.7503456583333334
010606,3.920295025
010607,3.8689514333333332
010608,3.704253441666667
010609,3.4976304166666665
010610,3.838067425
010611,3.8189944916666665
010612,3.456861433333333
010701,4.185380741666667
010702,4.3464967
010703,4.21675605
010704,4.251529891666666
010705,4.173492566666667
010706,4.03364925
010707,4.138085191666667
020101,2.96999585
020102,3.006626541666667
020103,3.0732023083333333
020104,3.2359802166666665
020105,3.0538007916666667
020106,2.9028218
020107,2.9420540666666666
020108,2.800204716666667
020109,3.37064345
020110,2.937661325
020111,2.8558296166666666
020112,3.1184235333333334
020201,3.0930209166666667
020202,3.317480425
020203,3.040489425
020204,2.9589764499999998
020205,3.1731967333333335
020301,3.5232236416666667
020302,3.6367351833333332
020303,3.446233708333333
020304,3.558496633333333
020305,3.3996137666666666
020306,3.5329692583333334
020401,3.288480341666667
020402,3.471719175
020501,2.4213021
020502,2.3280371916666667
020503,3.4467721166666667
020504,2.6522586416666667
020505,2.9164950666666667
020506,2.43932775
020507,3.560250716666667
020508,3.4277199416666666
020509,2.69752455
020510,3.1611399583333335
020511,2.325648525
020512,2.3325461
020513,2.523470458333333
020514,2.487419025
020515,2.454364575
020601,2.8158980083333334
020602,2.7590226583333335
020603,2.6725637
020604,2.7293385
020605,2.5958150166666667
020606,3.10888765
020607,3.0317831666666666
020608,3.128330291666667
020609,3.1452105083333333
020610,2.6725637
020611,2.8100774916666666
020701,3.3778029333333333
020702,3.396531733333333
020703,3.4423278416666667
020801,3.7894123166666667
020802,3.5925562666666666
020803,3.6697037
020804,3.58060325
020901,2.2576245166666666
020902,2.3082311916666667
020903,2.5754863583333334
020904,2.5550968333333333
020905,2.21631095
020906,2.1851871
020907,2.2613866
021001,3.2321332
021002,3.8475704
021003,3.3922973416666666
021004,2.864790025
021005,3.861045266666667
021006,3.7375201166666665
021007,3.5643681083333334
021008,3.1784788833333333
021009,3.4704375
021010,3.759485475
021011,3.7927689666666664
021012,3.5913077666666666
021013,3.7409871083333335
021014,3.273363916666667
021015,3.9081626333333332
021016,3.7238795000000002
021101,4.056622841666667
021102,3.4412028666666665
021103,4.252857433333333
021104,3.3852214833333334
021105,3.351531083333333
021201,2.4782611333333335
021202,2.2168400416666665
021203,2.360002925
021204,2.2575754083333335
021205,2.3119394416666665
021206,2.7400955333333332
021207,2.43630725
021208,2.571849925
021209,2.298568075
021210,2.5779062416666667
021301,3.667221891666667
021302,3.749606441666667
021303,3.4743260166666667
021304,3.621361575
021305,3.5290098833333334
021306,3.641504583333333
021307,3.6479770416666666
021308,3.6179343833333335
021401,3.1256368583333334
021402,3.0735090666666665
021403,2.5491532333333335
021404,2.669534425
021405,3.7287158666666667
021406,3.2896748166666665
021407,2.5095224
021408,2.6276170833333334
021409,3.7217263750000003
021410,3.1398416916666667
021501,2.3888885166666665
021502,2.521899658333333
021503,3.1442780833333335
021504,2.47996935
021505,2.409193625
021506,2.6100045333333335
021507,2.6006297
021508,2.562453025
021509,3.1241623166666668
021510,2.8355747333333334
021511,2.594972175
021601,3.8168516333333335
021602,3.755068741666667
021603,4.0750812
021604,3.812170175
021701,2.8593717499999998
021702,2.7220008583333333
021703,3.350415716666667
021704,3.4645826916666667
021705,3.514872575
021706,3.3570266916666665
021707,2.9616199500000002
021708,3.50515785
021709,3.440722425
021710,2.7797647166666666
021801,3.27879955
021802,2.8590957416666667
021803,0
021804,2.7658377416666666
021805,3.216785575
021806,3.30434115
021807,3.654683858333333
021808,4.349302508333333
021809,3.645476716666667
021901,3.534548958333333
021902,3.9545205
021903,4.317413158333333
021904,3.3067041583333334
021905,3.510411475
021906,4.1550022
021907,4.204244741666667
021908,3.173870525
021909,3.42893155
021910,4.001969075
022001,2.6865944666666666
022002,2.73603905
022003,2.7085591416666666
022004,2.4249690916666666
022005,3.0206000083333335
022006,2.567954025
022007,2.690846016666667
022008,3.484895783333333
030101,2.501676275
030102,2.8807823333333333
