ubigeo,sh
010101,0.009988074999999999
010102,0.009158758333333333
010103,0.010901158333333334
010104,0.009907475
010105,0.009327216666666667
010106,0.010086333333333333
010107,0.007836591666666667
010108,0.0104801
010109,0.008916416666666666
010110,0.007980966666666667
010111,0.009540925
010112,0.009427533333333333
010113,0.008632708333333333
010114,0.009170091666666666
010115,0.009535666666666666
010116,0.00831015
010117,0.008576458333333334
010118,0.009963016666666666
010119,0.009146316666666666
010120,0.009168591666666667
010121,0.010119775
010201,0.01567485
010202,0.013087716666666667
010203,0.013277366666666667
010204,0.015299258333333333
010205,0.014256866666666666
010206,0.013742208333333334
010301,0.009457391666666667
010302,0.009037183333333334
010303,0.011107108333333334
010304,0.010024791666666666
010305,0.010521866666666668
010306,0.010166716666666667
010307,0.011215141666666666
010308,0.009167991666666667
010309,0.009843866666666666
010310,0.0101642
010311,0.010066125
010312,0.011673941666666666
010401,0.015393425
010402,0.013932758333333333
010403,0.015385558333333334
010501,0.010033883333333334
010502,0.012328583333333334
010503,0.010703675
010504,0.009138508333333333
010505,0.009619891666666667
010506,0.009314758333333333
010507,0.008666333333333333
010508,0.009573083333333333
010509,0.009461766666666666
010510,0.009864775000000001
010511,0.008526616666666667
010512,0.011188983333333333
010513,0.01078895
010514,0.010281041666666667
010515,0.012582025
010516,0.010520175
010517,0.009271533333333333
010518,0.011080383333333332
010519,0.009370025
010520,0.010165575
010521,0.009300833333333333
010522,0.009349666666666666
010523,0.009765966666666667
010601,0.011292816666666667
010602,0.012113275
010603,0.010305683333333333
010604,0.012468625
010605,0.011188158333333333
010606,0.011343266666666667
010607,0.010439808333333333
010608,0.012231791666666667
010609,0.011183916666666667
010610,0.012554025
010611,0.012287666666666667
010612,0.010533191666666667
010701,0.013249216666666667
010702,0.011625483333333334
010703,0.0129035
010704,0.015328058333333333
010705,0.011977491666666668
010706,0.011793675
010707,0.012607341666666667
020101,0.005987075
020102,0.007239425
020103,0.008556175
020104,0.007436041666666666
020105,0.006164758333333333
020106,0.0062422
020107,0.0053562666666666665
020108,0.005895325
020109,0.009019241666666667
