ubigeo,no2
030108,5.360833333333333e-5
030109,5.135833333333333e-5
030201,5.1758333333333336e-5
030202,5.3275e-5
030203,5.2058333333333336e-5
030204,5.303333333333333e-5
030205,5.1875e-5
030206,5.183333333333333e-5
030207,5.209166666666667e-5
030208,5.2025e-5
030209,5.2075e-5
030210,5.195e-5
030211,5.0566666666666665e-5
030212,5.3083333333333334e-5
030213,5.180833333333334e-5
030214,5.2325e-5
030215,5.1225e-5
030216,5.475e-5
030217,5.154166666666667e-5
030218,5.204166666666667e-5
030219,5.24e-5
030220,5.195e-5
030301,5.0975e-5
030302,5.0833333333333333e-5
030303,5.2566666666666666e-5
030304,5.1375e-5
030305,5.485e-5
030306,5.188333333333333e-5
030307,5.3825e-5
030401,5.268333333333333e-5
030402,5.3458333333333336e-5
030403,5.23e-5
030404,5.3908333333333334e-5
030405,5.2308333333333335e-5
030406,5.179166666666667e-5
030407,5.444166666666667e-5
030408,5.225e-5
030409,5.041666666666667e-5
030410,5.24e-5
030411,5.043333333333333e-5
030412,5.209166666666667e-5
030413,5.3891666666666664e-5
030414,5.1699999999999996e-5
030415,5.2291666666666666e-5
030416,5.184166666666667e-5
030417,5.319166666666667e-5
030501,5.7566666666666666e-5
030502,5.4325e-5
030503,5.596666666666667e-5
030504,6.15e-5
030505,5.863333333333333e-5
030506,7.308333333333334e-5
030601,5.365e-5
030602,5.245e-5
030603,5.265833333333333e-5
030604,5.2858333333333335e-5
030605,5.3408333333333335e-5
030606,5.326666666666667e-5
030607,5.184166666666667e-5
030608,5.3591666666666664e-5
030609,5.2333333333333336e-5
030610,5.3083333333333334e-5
030611,5.28e-5
030701,5.488333333333333e-5
030702,5.555e-5
030703,5.381666666666667e-5
030704,5.815e-5
030705,5.9033333333333336e-5
030706,6.03e-5
030707,5.7633333333333336e-5
030708,6.74e-5
030709,5.998333333333333e-5
030710,6.095833333333333e-5
030711,6.176666666666667e-5
030712,6.190833333333334e-5
030713,5.695833333333333e-5
030714,6.190833333333334e-5
040101,1.4805833333333333e-4
040102,1.0661666666666667e-4
040103,7.893333333333333e-5
040104,9.764166666666666e-5
040105,1.19025e-4
040106,1.1019166666666667e-4
040107,1.3756666666666666e-4
040108,7.786666666666667e-5
040109,1.2745e-4
040110,1.2598333333333332e-4
040111,1.2835833333333334e-4
040112,1.4610833333333334e-4
040113,1.0755e-4
040114,8.411666666666666e-5
040115,1.1533333333333334e-4
040116,1.3675833333333333e-4
040117,1.4167500000000001e-4
040118,6.489166666666667e-5
040119,6.448333333333333e-5
040120,6.359166666666666e-5
040121,6.1475e-5
040122,1.3939166666666666e-4
040123,1.2418333333333333e-4
040124,1.0273333333333333e-4
040125,6.506666666666667e-5
040126,1.46425e-4
040127,9.746666666666667e-5
040128,7.04e-5
040129,1.4954166666666666e-4
040201,5.3225e-5
040202,5.274166666666667e-5
040203,5.4125e-5
040204,5.35e-5
040205,5.5016666666666665e-5
040206,5.3825e-5
040207,5.5091666666666666e-5
040208,5.3825e-5
040301,5.47e-5
040302,5.3733333333333336e-5
040303,5.3641666666666665e-5
040304,5.484166666666667e-5
040305,5.383333333333333e-5
040306,5.521666666666667e-5
040307,5.5075e-5
040308,5.4191666666666665e-5
040309,5.495e-5
040310,5.470833333333333e-5
040311,5.44e-5
040312,5.54e-5
040313,5.4175e-5
040401,5.718333333333333e-5
040402,5.5e-5
040403,5.571666666666667e-5
040404,5.2258333333333334e-5
040405,5.484166666666667e-5
040406,5.3591666666666664e-5
040407,5.713333333333333e-5
040408,5.38e-5
040409,5.3691666666666666e-5
040410,5.2125e-5
040411,5.6208333333333335e-5
040412,5.6825e-5
040413,5.6475000000000004e-5
040414,5.129166666666667e-5
040501,5.600833333333333e-5
040502,5.709166666666667e-5
040503,5.6675e-5
040504,5.52e-5
040505,5.5341666666666666e-5
040506,5.544166666666667e-5
040507,5.7058333333333336e-5
040508,5.716666666666667e-5
040509,5.4558333333333336e-5
040510,5.301666666666667e-5
040511,5.5725e-5
040512,5.4716666666666664e-5
040513,5.379166666666667e-5
040514,5.638333333333333e-5
040515,5.6716666666666665e-5
040516,5.32e-5
040517,6.100833333333333e-5
040518,5.404166666666667e-5
040519,5.6725e-5
040520,5.856666666666667e-5
040601,5.4175e-5
040602,5.4675e-5
040603,5.22e-5
040604,5.6183333333333335e-5
040605,5.691666666666666e-5
040606,5.633333333333333e-5
040607,5.4175e-5
040608,5.583333333333333e-5
040701,6.195e-5
040702,6.699166666666666e-5
040703,5.96e-5
040704,5.6724999999999996e-5
040705,5.876666666666667e-5
040706,5.82e-5
040801,5.795e-5
040802,5.408333333333333e-5
040803,5.4491666666666665e-5
040804,5.0475e-5
040805,5.104166666666667e-5
040806,5.0825e-5
040807,5.770833333333333e-5
040808,5.6391666666666664e-5
040809,5.6724999999999996e-5
040810,5.6233333333333336e-5
040811,5.7516666666666664e-5
050101,5.42e-5
050102,5.1125e-5
050103,5.106666666666666e-5
050104,5.6133333333333333e-5
050105,5.2608333333333336e-5
050106,5.1458333333333335e-5
050107,5.2225e-5
050108,5.040833333333333e-5
050109,5.2475e-5
050110,5.7016666666666666e-5
050111,5.185e-5
050112,5.3158333333333336e-5
050113,5.293333333333334e-5
050114,5.101666666666667e-5
050115,5.4475e-5
050116,5.56e-5
050201,5.104166666666667e-5
050202,5.106666666666666e-5
050203,5.190833333333333e-5
050204,5.0816666666666664e-5
050205,5.041666666666667e-5
050206,5.020833333333333e-5
050301,5.2308333333333335e-5
050302,5.243333333333333e-5
050303,5.153333333333333e-5
050304,5.189166666666666e-5
050401,5.0008333333333334e-5
050402,4.735833333333333e-5
050403,4.9966666666666664e-5
050404,5.189166666666667e-5
050405,5.045e-5
050406,4.793333333333333e-5
050407,4.8591666666666664e-5
050408,4.9725e-5
050409,5.385e-5
050410,4.821666666666667e-5
050411,4.816666666666667e-5
050412,4.96e-5
050501,4.994166666666666e-5
050502,4.8899999999999996e-5
050503,4.945e-5
050504,5.294166666666667e-5
050505,4.904166666666667e-5
050506,5.108333333333333e-5
050507,4.943333333333333e-5
050508,4.96e-5
050509,4.820833333333333e-5
050510,4.86e-5
050511,4.9466666666666665e-5
050601,5.4025e-5
050602,5.374166666666667e-5
050603,5.291666666666667e-5
050604,5.355833333333333e-5
050605,5.4308333333333337e-5
050606,5.165833333333333e-5
050607,5.5075e-5
050608,5.3708333333333336e-5
050609,5.4266666666666667e-05
050610,5.376666666666667e-5
050611,5.2791666666666665e-5
050612,5.455e-5
050613,5.4225000000000003e-5
050614,5.429166666666667e-5
050615,5.4125e-5
050616,5.4816666666666666e-5
050617,5.465833333333334e-5
050618,5.435e-5
050619,5.5175e-5
050620,5.4325e-5
050621,5.4416666666666663e-5
050701,5.32e-5
050702,5.69e-5
050703,5.155833333333333e-5
050704,5.348333333333334e-5
050705,5.64e-5
050706,5.6466666666666666e-5
050707,5.601666666666667e-5
050708,5.3408333333333335e-5
050801,5.626666666666667e-5
050802,5.4741666666666665e-5
050803,5.6175e-5
050804,5.4925e-5
050805,5.625e-5
050806,5.125833333333333e-5
050807,5.5875e-5
050808,5.488333333333334e-5
050809,5.5566666666666664e-5
050810,5.5925000000000004e-5
050901,5.26e-5
050902,5.2975e-5
050903,5.42e-5
050904,5.438333333333333e-5
050905,5.325833333333333e-5
050906,5.3183333333333336e-5
050907,5.375833333333333e-5
050908,5.24e-5
050909,5.2925e-5
050910,5.325833333333333e-5
050911,5.151666666666667e-5
051001,5.2000000000000004e-5
051002,5.1391666666666664e-5
051003,5.270833333333333e-5
051004,5.410833333333333e-5
051005,5.135833333333333e-5
051006,5.1683333333333334e-5
051007,5.2824999999999997e-5
051008,5.041666666666667e-5
051009,5.1416666666666665e-5
051010,5.0841666666666665e-5
051011,5.149166666666667e-5
051012,5.2266666666666665e-5
051101,5.268333333333333e-5
051102,5.7125e-5
051103,5.349166666666667e-5
051104,5.215e-5
051105,5.5616666666666666e-5
051106,5.3983333333333335e-5
051107,5.245833333333333e-5
051108,5.0616666666666666e-5
060101,4.7258333333333335e-5
060102,4.995833333333333e-5
060103,4.77e-5
060104,4.7075e-5
060105,4.5558333333333334e-5
060106,4.738333333333333e-5
060107,4.8575e-5
060108,4.8116666666666666e-5
060109,4.875e-5
060110,4.6425000000000004e-5
060111,4.6525e-5
060112,4.7258333333333335e-5
060201,4.6733333333333335e-5
060202,4.8083333333333334e-5
060203,4.995833333333333e-5
060204,4.790833333333334e-5
060301,4.655e-5
060302,4.415e-5
060303,4.5858333333333334e-5
060304,4.5358333333333336e-5
060305,4.74e-5
060306,4.576666666666666e-5
060307,4.434166666666667e-5
060308,4.5591666666666666e-5
060309,4.5341666666666667e-5
060310,4.463333333333333e-5
060311,4.8575e-5
060312,4.535e-5
060401,4.5266666666666665e-5
060402,4.5258333333333333e-5
060403,4.429166666666667e-5
060404,4.659166666666667e-5
060405,4.6425000000000004e-5
060406,4.5658333333333336e-5
060407,4.9025e-5
060408,4.451666666666667e-5
060409,4.8591666666666664e-5
060410,4.7583333333333336e-5
060411,5.0024999999999996e-5
060412,4.758333333333333e-5
060413,4.438333333333333e-5
060414,4.6341666666666664e-5
060415,4.6408333333333334e-5
060416,4.88e-5
060417,4.519166666666667e-5
060418,5.099166666666667e-5
060419,4.5425e-5
060501,5.12e-5
060502,5.189166666666666e-5
060503,5.225e-5
060504,4.9825e-5
060505,5.2766666666666664e-5
060506,5.1225e-5
060507,5.158333333333333e-5
060508,5.4525e-5
060601,4.565e-5
060602,4.816666666666667e-5
060603,4.8924999999999997e-5
060604,4.6616666666666664e-5
060605,4.486666666666667e-5
060606,4.6983333333333335e-5
060607,4.708333333333333e-5
060608,4.385833333333333e-5
060609,4.6133333333333334e-5
060610,4.493333333333333e-5
060611,4.686666666666666e-5
060612,4.4691666666666664e-5
060613,4.601666666666667e-5
060614,4.4375e-5
060615,4.853333333333333e-5
060701,4.5258333333333333e-5
060702,4.3958333333333336e-5
060703,4.5033333333333335e-5
060801,4.6683333333333334e-5
060802,4.8875e-5
060803,4.3825e-5
060804,4.6166666666666666e-5
060805,4.5658333333333336e-5
060806,4.766666666666667e-5
060807,4.686666666666666e-5
060808,4.7333333333333336e-5
060809,4.5566666666666665e-5
060810,4.769166666666667e-5
060811,4.6483333333333336e-5
060812,4.6066666666666664e-5
060901,4.565e-5
060902,4.543333333333333e-5
060903,4.445e-5
060904,4.4666666666666664e-5
060905,4.4775e-5
060906,4.365e-5
060907,4.373333333333333e-5
061001,4.594166666666667e-5
061002,4.635833333333333e-5
061003,4.715833333333333e-5
061004,4.505e-5
061005,4.73e-5
061006,4.6683333333333334e-5
061007,4.598333333333333e-5
061101,5.1875e-5
061102,5.305833333333333e-5
061103,4.763333333333334e-5
061104,4.5558333333333334e-5
061105,4.8775e-5
061106,5.3908333333333334e-5
061107,4.6708333333333335e-5
061108,5.4975e-5
061109,5.1666666666666664e-5
061110,5.2866666666666666e-5
061111,4.7925e-5
061112,4.6433333333333335e-5
061113,5.190833333333333e-5
061201,4.93e-5
061202,5.1125e-5
061203,5.204166666666667e-5
061204,4.8041666666666664e-5
061301,5.2625e-5
061302,4.8875e-5
061303,5.1641666666666664e-5
061304,5.1116666666666665e-5
061305,4.954166666666667e-5
061306,4.631666666666666e-5
061307,4.8225e-5
061308,5.0275e-5
061309,5.238333333333334e-5
061310,4.885e-5
061311,4.826666666666667e-5
070101,1.7879166666666667e-4
070102,1.6990833333333332e-4
070103,1.9025833333333333e-4
070104,1.5931666666666667e-4
070105,1.5374166666666666e-4
070106,1.7353333333333334e-4
070107,1.7460000000000002e-4
080101,5.8141666666666666e-5
080102,5.4741666666666665e-5
080103,5.633333333333333e-5
080104,5.885833333333333e-5
080105,6.0841666666666664e-5
080106,5.943333333333333e-5
080107,5.865e-5
080108,6.484166666666667e-5
080201,5.175e-5
080202,5.543333333333334e-5
080203,5.2175e-5
080204,5.543333333333333e-5
080205,5.245833333333333e-5
080206,5.3683333333333335e-5
080207,5.3616666666666664e-5
080301,5.491666666666667e-5
080302,5.151666666666667e-5
080303,5.611666666666667e-5
080304,5.299166666666667e-5
080305,5.08e-5
080306,5.1175e-5
080307,5.12e-5
080308,5.9466666666666664e-5
080309,5.275e-5
080401,4.908333333333333e-5
080402,5.1500000000000005e-5
080403,5.163333333333333e-5
080404,4.86e-5
080405,5.1133333333333334e-5
080406,5.5841666666666664e-5
080407,5.385e-5
080408,5.1158333333333335e-5
080501,5.350833333333334e-5
080502,5.469166666666667e-5
080503,5.434166666666667e-5
080504,5.411666666666666e-5
080505,5.373333333333333e-5
080506,5.5875e-5
080507,5.3116666666666666e-5
080508,5.5900000000000004e-5
080601,5.33e-5
080602,5.1158333333333335e-5
080603,5.300833333333333e-5
080604,5.399166666666667e-5
080605,4.9516666666666666e-5
080606,5.180833333333334e-5
080607,5.3374999999999996e-5
080608,5.519166666666667e-5
080701,5.31e-5
080702,5.5308333333333334e-5
080703,5.456666666666667e-5
080704,5.610833333333333e-5
080705,5.405e-5
080706,5.5900000000000004e-5
080707,5.7775e-5
080708,5.59e-5
080801,6.749166666666666e-5
080802,5.5825e-5
080803,5.663333333333333e-5
080804,6.0049999999999996e-5
080805,5.711666666666667e-5
080806,5.653333333333333e-5
080807,5.8383333333333334e-5
080808,5.659166666666667e-5
080901,4.956666666666667e-5
080902,4.9474999999999996e-5
080903,4.878333333333333e-5
080904,4.909166666666667e-5
080905,4.883333333333333e-5
080906,5.014166666666667e-5
080907,4.679166666666667e-5
080908,4.846666666666667e-5
080909,4.83e-5
080910,5.066666666666667e-5
080911,4.8375e-5
080912,4.86e-5
080913,5.055e-5
080914,5.2358333333333337e-5
081001,5.265e-5
081002,5.5316666666666665e-5
081003,5.473333333333333e-5
081004,5.4416666666666663e-5
081005,5.473333333333333e-5
081006,5.353333333333334e-5
081007,5.4541666666666667e-5
081008,5.319166666666667e-5
081009,5.53e-5
081101,4.968333333333333e-5
081102,5.439166666666667e-5
081103,5.005e-5
081104,5.1208333333333336e-5
081105,5.2233333333333334e-5
081106,4.989166666666667e-5
081201,5.213333333333333e-5
081202,5.3966666666666666e-5
081203,5.0583333333333334e-5
081204,4.9441666666666665e-5
081205,5.249166666666667e-5
081206,5.295833333333333e-5
081207,5.2233333333333334e-5
081208,5.528333333333333e-5
081209,4.7125e-5
081210,5.0008333333333334e-5
081211,5.64e-5
081212,5.2258333333333334e-5
081301,5.025833333333333e-5
081302,5.1391666666666664e-5
081303,5.2766666666666664e-5
081304,4.84e-5
081305,5.240833333333333e-5
081306,4.939166666666666e-5
081307,4.9791666666666666e-5
090101,5.0933333333333336e-5
090102,5.0275e-5
090103,5.019166666666667e-5
090104,5.3408333333333335e-5
090105,5.3375e-5
090106,4.960833333333333e-5
090107,5.1408333333333334e-5
090108,5.075833333333333e-5
090109,4.9966666666666664e-5
090110,5.0425e-5
090111,5.551666666666667e-5
090112,5.6733333333333335e-5
090113,5e-5
090114,5.073333333333333e-5
090115,5.071666666666667e-5
090116,5.075833333333333e-5
090117,4.9558333333333336e-5
090118,5.105e-5
090119,5.193333333333333e-5
090201,5.0333333333333335e-5
090202,4.9741666666666665e-5
090203,4.934166666666667e-5
090204,5.161666666666667e-5
090205,5.138333333333333e-5
090206,4.9441666666666665e-5
090207,5.0791666666666663e-5
090208,5.0308333333333334e-5
090301,4.989166666666667e-5
090302,5.045e-5
090303,5.070833333333333e-5
090304,4.909166666666666e-5
090305,5.1375e-5
090306,5.1391666666666664e-5
090307,5.183333333333333e-5
090308,5.18e-5
090309,5.1666666666666664e-5
090310,5.235e-5
090311,4.994166666666667e-5
090312,4.9975e-5
090401,5.42e-5
090402,5.185833333333333e-5
090403,5.413333333333333e-5
090404,5.470833333333333e-5
090405,5.0891666666666666e-5
090406,5.7358333333333336e-5
090407,5.546666666666667e-5
090408,5.535e-5
090409,5.4466666666666665e-5
090410,5.566666666666667e-5
090411,5.100833333333333e-5
090412,5.571666666666667e-5
090413,5.4216666666666665e-5
090501,4.998333333333333e-5
090502,4.963333333333333e-5
090503,5.0125e-5
090504,4.798333333333333e-5
090505,4.9025e-5
090506,4.8675000000000004e-5
090507,5.045833333333333e-5
090508,5.048333333333333e-5
090509,5.0591666666666665e-5
090510,5.6999999999999996e-5
090511,4.906666666666667e-5
090601,5.5641666666666666e-5
090602,5.5025e-5
090603,5.495833333333333e-5
090604,6.0041666666666665e-5
090605,5.206666666666667e-5
090606,5.5108333333333336e-5
090607,5.1425e-5
090608,5.38e-5
090609,5.58e-5
090610,5.269166666666667e-5
090611,5.4425e-5
090612,5.4583333333333336e-5
090613,5.4233333333333335e-5
090614,5.413333333333333e-5
090615,5.2541666666666665e-5
090616,5.189166666666667e-5
090701,5.128333333333334e-5
090702,5.035e-5
090703,5.1225e-5
090704,5.15e-5
090705,5.098333333333333e-5
090706,5.215e-5
090707,5.0291666666666665e-5
090709,4.960833333333333e-5
090710,5.1091666666666664e-5
090711,4.965e-5
090713,4.943333333333333e-5
090714,4.8391666666666666e-5
090715,5.0841666666666665e-5
090716,4.988333333333333e-5
090717,4.985e-5
090718,4.9875e-5
090719,5.0375e-5
090720,4.8391666666666666e-5
090721,4.8366666666666666e-05
090722,4.820833333333333e-5
090723,5.0658333333333336e-5
100101,5.126666666666667e-5
100102,5.129166666666667e-5
100103,4.649166666666667e-5
100104,4.6475e-5
100105,4.986666666666667e-5
100106,4.773333333333333e-5
100107,5.041666666666667e-5
100108,4.8108333333333335e-5
100109,4.7008333333333335e-5
100110,4.9258333333333336e-5
100111,5.134166666666666e-5
100112,4.8333333333333334e-5
100113,4.6941666666666665e-5
100201,4.8116666666666666e-5
100202,4.7833333333333335e-5
100203,4.7375e-5
100204,4.885e-5
100205,4.966666666666666e-5
100206,4.968333333333333e-5
100207,4.9008333333333336e-5
100208,4.8641666666666665e-5
100301,4.990833333333333e-5
100307,4.768333333333333e-5
100311,4.565e-5
100313,5.0308333333333334e-5
100316,5.023333333333333e-5
100317,5.038333333333333e-5
100321,5.1458333333333335e-5
100322,5.053333333333333e-5
100323,5.1466666666666666e-5
100401,4.6941666666666665e-5
100402,4.511666666666667e-5
100403,4.591666666666667e-5
100404,4.495e-5
100501,5.071666666666667e-5
100502,4.608333333333333e-5
100503,4.6716666666666666e-5
100504,4.6991666666666666e-5
100505,4.465e-5
100506,4.8975e-5
100507,4.69e-5
100508,4.986666666666667e-5
100509,5.041666666666667e-5
100510,4.759166666666667e-5
100511,4.566666666666667e-5
100601,5.019166666666667e-5
100602,4.791666666666667e-5
100603,4.6691666666666665e-5
100604,4.8775e-5
100605,5.103333333333333e-5
100606,4.92e-5
100607,4.8316666666666664e-5
100608,5.0383333333333336e-5
100609,4.7775e-5
100610,4.9741666666666665e-5
100701,4.57e-5
100702,4.655833333333333e-5
100703,4.6325e-5
100704,4.795833333333333e-5
100705,4.625833333333333e-5
100801,4.74e-5
100802,4.6825e-5
100803,4.8225e-5
100804,5.0033333333333334e-5
100901,5.7316666666666666e-5
100902,5.3966666666666666e-5
100903,5.5625000000000004e-5
100904,5.740833333333333e-5
100905,5.6766666666666666e-5
101001,4.825e-5
101002,4.795833333333333e-5
101003,4.75e-5
101004,4.9075e-5
101005,4.925e-5
101006,4.854166666666667e-5
101007,4.8158333333333336e-5
101101,4.6675e-5
101102,4.9766666666666666e-5
101103,5.193333333333333e-5
101104,4.624166666666667e-5
101105,4.7291666666666666e-5
101106,4.815e-5
101107,4.768333333333333e-5
101108,5.1708333333333334e-5
110101,5.3950000000000004e-5
110102,6.325833333333333e-5
110103,6.3225e-5
110104,5.271666666666667e-5
110105,6.381666666666667e-5
110106,6.726666666666667e-5
110107,6.508333333333333e-5
110108,5.7175e-5
110109,5.685833333333333e-5
110110,6.1375e-5
110111,5.44e-5
110112,5.519166666666667e-5
110113,6.205833333333333e-5
110114,5.600833333333333e-5
110201,5.9258333333333335e-5
110202,6.0916666666666666e-5
110203,5.72e-5
110204,5.8383333333333334e-5
110205,5.7225e-5
110206,6.054166666666666e-5
110207,5.9033333333333336e-5
110208,5.5225e-5
110209,5.163333333333333e-5
110210,5.940833333333333e-5
110211,5.8924999999999996e-5
110301,5.635e-5
110302,5.3933333333333334e-5
110303,5.57e-5
110304,5.741666666666667e-5
110305,5.630833333333333e-5
110401,5.628333333333333e-5
110402,5.489166666666667e-5
110403,5.555e-5
110404,5.495e-5
110405,5.4216666666666665e-5
110501,5.7825e-5
110502,5.515e-5
110503,5.714166666666667e-5
110504,5.831666666666667e-5
110505,5.275e-5
110506,5.7883333333333335e-5
110507,5.7425e-5
110508,6.115833333333333e-5
120101,5.183333333333333e-5
120104,4.984166666666667e-5
120105,5.135e-5
120106,5.0975e-5
120107,6.321666666666667e-5
120108,5.0658333333333336e-5
120111,5.2216666666666664e-5
120112,4.965e-5
120113,5.036666666666667e-5
120114,5.521666666666666e-5
120116,5.303333333333333e-5
120117,5.4208333333333334e-5
120119,6.305833333333333e-5
120120,5.138333333333333e-5
120121,5.795e-5
120122,4.9783333333333335e-5
120124,4.708333333333333e-5
120125,6.8075e-5
120126,4.989166666666667e-5
120127,4.9275e-5
120128,5.080833333333333e-5
