ubigeo,tmmx
010101,22.180854825
010102,19.873028591666667
010103,23.18853675
010104,21.361059025
010105,20.637846116666665
010106,21.505828308333335
010107,17.689016991666666
010108,23.179895616666666
010109,20.288974683333333
010110,18.642406716666667
010111,20.907545483333333
010112,20.987731883333332
010113,20.180438908333333
010114,20.487801941666667
010115,20.548315091666666
010116,18.538633616666665
010117,19.044310958333334
010118,22.413107433333334
010119,20.36117631666667
010120,20.102644058333333
010121,22.024737841666667
010201,29.01659185
010202,26.234327
010203,25.953355641666665
010204,28.824308833333333
010205,28.4260484
010206,26.995906975
010301,20.691088966666666
010302,19.817095525
010303,22.73946145
010304,21.735819783333334
010305,22.539017783333335
010306,21.691766966666666
010307,24.00348155
010308,21.219053391666666
010309,20.686704566666666
010310,23.090651483333332
010311,22.693188575
010312,24.37054223333333
010401,30.192388575
010402,28.768791008333334
010403,30.204935
010501,22.071886
010502,25.060240825
010503,23.395474808333333
010504,20.461282575
010505,21.300444666666667
010506,20.836000533333333
010507,18.699724025000002
010508,21.228608816666668
010509,21.55801935
010510,21.58984106666667
010511,19.420849258333334
010512,23.545133483333334
010513,23.747236683333334
010514,22.70456405
010515,25.408507675
010516,22.200102941666668
010517,20.679428016666666
010518,22.84899845
010519,21.507736
010520,22.415641808333334
010521,20.522050508333333
010522,21.496493100000002
010523,21.058531016666667
010601,23.386882133333334
010602,24.413608658333334
010603,21.991655933333334
010604,24.896400733333333
010605,23.013177808333335
010606,22.968282775
010607,21.9575435
010608,25.220836891666668
010609,23.349345608333334
010610,24.795031716666667
010611,24.659762966666666
010612,22.148174791666666
010701,26.299174825
010702,23.852246383333334
010703,26.160723975
010704,28.675207325
010705,24.7237587
010706,24.714747058333334
010707,25.633454808333333
020101,14.216983116666666
020102,20.442638783333333
020103,23.60727385
020104,20.069345841666667
020105,14.267920541666667
020106,16.918088466666667
020107,14.893964175
020108,12.905689716666666
020109,23.68751028333333
020110,18.496055458333334
020111,15.22982505
020112,14.02625495
020201,13.567131308333334
020202,21.052465216666665
020203,17.4720935
020204,14.033314508333333
020205,15.9217277
020301,21.803211283333333
020302,22.180725991666666
020303,22.455851816666666
020304,20.319487041666665
020305,16.149374616666666
020306,16.496669625
020401,13.253244133333332
020402,16.930714758333334
020501,15.570045966666667
020502,23.444471316666668
020503,22.978173899999998
020504,11.471420983333333
020505,14.032650583333334
020506,18.109871300000002
020507,24.04096450833333
020508,12.997113933333333
020509,13.229022958333333
020510,14.988716083333333
020511,18.420588525
020512,17.311845425
020513,13.398719108333333
020514,15.346451091666667
020515,14.914151258333334
020601,17.384600541666668
020602,22.635283991666668
020603,22.069897108333333
020604,18.533275241666665
020605,18.378402658333332
020606,15.200655366666666
020607,22.210193275
020608,12.575435725
020609,12.527920608333334
020610,23.79928311666667
020611,16.864762758333335
020701,17.962748741666665
020702,20.48598965
020703,19.0381369
020801,25.967643458333335
020802,25.983271583333334
020803,25.588295825
020804,25.513565325
020901,19.680072783333333
020902,17.92982183333333
020903,23.25462605
020904,16.192097033333333
020905,23.539431141666668
020906,19.199146683333332
020907,24.232320533333333
021001,14.694334766666667
021002,17.529499183333332
021003,16.067112275
021004,12.78596235
021005,17.477541191666667
021006,19.108283075
021007,17.694219458333333
021008,14.462436333333333
021009,19.315624716666665
021010,19.376387191666666
021011,18.592402891666666
021012,22.768941333333334
021013,17.230714516666666
021014,13.45969465
021015,15.477309625
021016,21.304927541666668
021101,24.762391175
021102,21.947990508333334
021103,25.522654183333334
021104,22.783017366666666
021105,18.611946441666667
021201,17.658045208333334
021202,24.088794975
021203,19.30420255
021204,20.668931916666665
021205,18.9841322
021206,18.152071291666665
021207,19.737146425
021208,14.417848066666666
021209,17.307644191666668
021210,15.550224075
021301,20.335032116666667
021302,18.960795825
021303,22.171694775
021304,21.002224475
021305,21.792851758333335
021306,18.661326041666666
021307,17.400354274999998
021308,21.287133866666668
021401,14.478949716666667
021402,20.597956058333335
021403,13.555866458333334
021404,21.003481225
021405,24.096947916666668
021406,15.707665650000001
021407,18.03863805
021408,16.833679366666665
021409,23.929190575
021410,16.39602485
021501,16.7270493
021502,24.239645625
021503,17.055179375
021504,21.576304983333333
021505,17.044647816666668
021506,18.149513725
021507,19.942469516666666
021508,22.728410225
021509,17.263723233333334
021510,25.1940436
021511,22.066406216666667
021601,16.8268288
021602,18.22232590833333
021603,21.951201391666668
021604,21.390471275
021701,14.976619075
021702,12.395480191666667
021703,13.400597275
021704,17.493869508333333
021705,21.45072031666667
021706,17.031324283333333
021707,14.235068491666667
021708,22.655901941666666
021709,14.310208416666667
021710,13.628866716666666
021801,25.970112341666667
021802,21.177083958333334
021803,25.002876999999998
021804,22.86693515
021805,26.028832033333334
021806,26.197805583333334
021807,25.650273458333334
021808,25.142712525
021809,25.988711891666668
021901,20.255766383333334
021902,22.618731425
021903,20.976469925
021904,18.686897033333334
021905,17.720184258333333
021906,19.258484041666666
021907,22.235739683333335
021908,16.376341541666665
021909,18.484730083333332
021910,21.341571424999998
022001,15.573699925
022002,15.359091725
022003,20.102650875000002
022004,22.673815616666666
022005,19.558270858333334
022006,22.805553408333335
022007,15.043933641666667
022008,15.223920866666667
030101,21.267685991666667
030102,17.17450665
030103,17.618601241666667
030104,19.974305116666667
030105,23.3391011
030106,18.588412066666667
030107,20.893829258333334
030108,23.10357495
030109,18.422531058333334
030201,18.413546491666665
030202,25.159171875
030203,18.120572258333333
030204,21.889684191666667
030205,19.113649158333335
030206,18.299409025
030207,18.756424908333333
030208,24.826644775
030209,21.13719995
030210,16.194208008333334
030211,16.786686566666667
030212,20.948441916666667
030213,17.00951505
030214,19.921253883333332
030215,18.560015391666667
030216,21.341371216666666
030217,16.013846191666666
030218,18.285311783333334
030219,24.999071100000002
030220,16.213860608333334
030301,13.806722975
030302,15.932204441666666
030303,15.009228783333333
030304,13.630327416666667
030305,13.672313566666666
030306,16.540170058333334
030307,16.62102103333333
030401,17.207379058333334
030402,17.793296525
030403,15.073997233333333
030404,19.976084333333333
030405,19.82330435833333
030406,14.224676833333334
030407,20.701576125
030408,20.034144358333332
030409,17.730456383333333
030410,18.571283933333333
030411,17.410439391666667
030412,16.031205925000002
030413,19.851910525
030414,18.723362575
030415,21.280574483333332
030416,18.046647308333334
030417,17.995178383333332
030501,17.8642011
030502,19.794166475
030503,17.418152058333334
030504,16.9454678
030505,19.086051625
030506,16.441194091666667
030601,21.859156041666665
030602,17.983854975
030603,23.107129916666665
030604,24.240884266666665
030605,21.791890591666665
030606,22.13144438333333
030607,20.98844825
030608,17.808985391666667
030609,20.40161175
030610,24.727653683333333
030611,23.876902366666666
030701,15.769633691666666
030702,16.357884666666667
030703,18.543075583333334
030704,19.491703891666667
030705,17.024612341666668
030706,17.160091408333333
030707,15.129653508333334
030708,16.056523016666667
030709,18.700442608333333
030710,20.053575466666665
030711,17.635918
030712,20.7609673
030713,14.220584533333334
030714,17.697221466666665
040101,24.714286775
040102,21.068252925
040103,17.33384433333333
040104,20.542288941666666
040105,19.997044183333333
040106,17.928902666666666
040107,24.749730616666668
040108,26.961037666666666
040109,21.901374558333334
040110,21.846061716666668
040111,23.699683408333332
040112,23.645308375
040113,18.748952008333333
040114,21.261037291666668
040115,22.875335825
040116,23.044285608333333
040117,25.03254015
040118,26.834849791666667
040119,14.254465741666667
040120,26.462212758333333
040121,26.60377285
040122,24.592311625
040123,24.607720591666666
040124,25.634864641666667
040125,26.574402466666665
040126,24.738790166666668
040127,23.337161875
040128,18.974016925
040129,24.706026666666666
040201,23.894836008333332
040202,24.086388308333333
040203,24.629066366666667
040204,24.672453975
040205,25.0198964
040206,24.524782416666667
040207,24.679106733333334
040208,24.35555820833333
040301,23.849017733333334
040302,24.908845408333335
040303,24.063293825
040304,23.992898791666665
040305,25.174476658333333
040306,19.256838333333334
040307,24.857680600000002
040308,23.422281299999998
040309,21.8834414
040310,24.75233005833333
040311,24.718042825
040312,19.742103383333333
040313,24.548975275
040401,26.076825316666667
040402,15.680717616666668
040403,20.185549575
040404,12.709109483333334
040405,16.51186915
040406,14.630196633333334
040407,25.106153791666667
040408,15.279764008333334
040409,13.52229
040410,16.165973116666667
040411,24.308645183333333
040412,21.427653175
040413,26.20142531666667
040414,14.502302625
040501,14.125576474999999
040502,14.643491008333333
040503,16.061743758333332
040504,14.381084825
040505,13.453978733333333
040506,16.178103483333334
040507,19.24360605
040508,18.106970191666665
040509,15.1240375
040510,12.736224383333333
040511,18.25373989166667
040512,13.282882625
040513,14.504220083333333
040514,13.853498
040515,14.722124991666666
040516,13.539458541666667
040517,14.891593316666667
040518,13.845773425
040519,14.059937925
040520,26.110983866666665
040601,22.329300033333332
040602,20.735581908333334
040603,13.306728041666666
040604,19.518028458333333
040605,23.348649425
040606,25.304776933333333
040607,12.498247016666667
040608,22.704270233333332
040701,25.92436905
040702,25.991806991666667
040703,24.102074383333335
040704,24.948543008333335
040705,24.547776216666666
040706,25.056944125
040801,15.474787491666667
040802,14.115606183333334
040803,16.188039233333335
040804,12.835038616666667
040805,13.391806891666667
040806,12.160044075
040807,20.3367075
040808,20.546477091666667
040809,20.834803358333332
040810,14.960047475
040811,19.126877408333332
050101,24.272277008333333
050102,18.370802366666666
050103,20.4657801
050104,22.504734083333332
050105,17.734516391666666
050106,21.799898483333333
050107,25.328148408333334
050108,21.782427491666667
050109,21.850077191666667
050110,23.3297467
