ubigeo,urban_area
050701,28.8068156
050702,9.5989812
050703,0
050704,0
050705,23.1895007
050706,9.5918187
050707,0
050708,0
050801,38.3640744
050802,0
050803,0
050804,0
050805,0
050806,0
050807,0
050808,0
050809,0
050810,0
050901,9.6451813
050902,0
050903,0
050904,0
050905,0
050906,9.6422312
050907,0
050908,0
050909,0
050910,0
050911,0
051001,9.6553881
051002,0
051003,0
051004,0
051005,19.2962312
051006,0
051007,0
051008,0
051009,9.6564706
051010,9.6514
051011,0
051012,2.4627343
051101,19.3176194
051102,6.5495366
051103,0
051104,0
051105,1.2493336
051106,0
051107,0
051108,0
060101,148.0176841
060102,0
060103,0
060104,0
060105,0
060106,0
060107,0
060108,29.3413111
060109,14.6095657
060110,0
060111,0
060112,0
060201,9.8476094
060202,0
060203,0
060204,0
060301,29.5912081
060302,0
060303,0
060304,0
060305,0
060306,0
060307,0
060308,0
060309,0
060310,9.8620338
060311,0
060312,0
060401,19.7394087
060402,0
060403,0
060404,0
060405,0
060406,0
060407,0
060408,0
060409,9.8712544
060410,0
060411,0
060412,0
060413,0
060414,0
060415,0
060416,0
060417,0
060418,0
060419,0
060501,29.6781027
060502,0
060503,0
060504,0
060505,0
060506,0
060507,0
060508,19.7118925
060601,19.7460775
060602,0
060603,18.8350408
060604,0
060605,0
060606,0
060607,0
060608,0
060609,0
060610,0
060611,0
060612,0
060613,0
060614,9.8744644
060615,9.1062631
060701,29.6021175
060702,0
060703,0
060801,95.4371858
060802,76.7271998
060803,0
060804,0
060805,9.8867456
060806,0
060807,0
060808,0
060809,0
060810,0
060811,0
060812,0
060901,9.8941331
060902,9.8909444
060903,9.8922069
060904,0
060905,0
060906,9.8953469
060907,0
061001,9.8539263
061002,0
061003,0
061004,0
061005,0
061006,0
061007,0
061101,19.0259639
061102,0
061103,0.6960786
061104,0
061105,0
061106,0
061107,0
061108,0
061109,0
061110,0
061111,0
061112,0
061113,0
061201,9.8586931
061202,0
061203,0
061204,0
061301,0
061302,0
061303,0
061304,0
061305,0
061306,0
