ubigeo,aai
010101,0.06405136666666666
010102,0.36181620833333333
010103,-6.602166666666668e-4
010104,0.21789373333333334
010105,0.34338860833333334
010106,0.08180710833333334
010107,0.326461375
010108,0.042624716666666666
010109,0.28911585
010110,0.38344259166666667
010111,0.19160375
010112,0.20651984166666668
010113,0.28452143333333335
010114,0.2831319583333333
010115,0.36052918333333334
010116,0.3764185
010117,0.347991375
010118,0.043760249999999994
010119,0.12563150833333334
010120,0.22311575833333333
010121,0.035419575
010201,0.057005700000000006
010202,0.2814416083333333
010203,0.3079359916666667
010204,0.127999825
010205,0.20850156666666667
010206,0.259456275
010301,0.3420398666666667
010302,0.35470045
010303,0.24933850833333335
010304,0.26462955833333335
010305,0.332732225
010306,0.4088088166666667
010307,0.28979770833333335
010308,0.3181521583333333
010309,0.294684325
010310,0.40590218333333333
010311,0.19386204166666668
010312,0.3019962583333333
010401,0.176268375
010402,0.18015035
010403,0.130931875
010501,0.12458670833333332
010502,0.32840434166666665
010503,0.06568548333333334
010504,0.32784511666666666
010505,0.5013892583333334
010506,0.43166275833333334
010507,0.368320825
010508,0.3499058583333333
010509,0.19407405833333333
010510,0.36415043333333336
010511,0.40745154166666664
010512,0.36505289166666666
010513,0.164410175
010514,0.125819575
010515,0.14541913333333334
010516,0.20598135833333334
010517,0.36324046666666665
010518,0.2938298916666667
010519,0.3255036
010520,0.24930151666666667
010521,0.36300041666666666
010522,0.27454995
010523,0.15290423333333333
010601,0.15782456666666667
010602,0.09271415
010603,0.31989149166666664
010604,0.17170859166666666
010605,0.2521417833333333
010606,0.23434816666666666
010607,0.27188688333333333
010608,0.007761824999999999
010609,0.14180937500000002
010610,-0.024127775000000004
010611,0.0019299416666666669
010612,0.4423924
010701,0.159066825
010702,0.42643220000000004
010703,0.185093325
010704,-0.162190475
010705,0.33744084166666666
010706,0.3844307
010707,0.30787376666666666
020101,0.14809174166666667
020102,0.3588372083333333
020103,0.2795095083333333
020104,0.34472179166666667
020105,0.14259335
020106,0.17413053333333334
020107,0.37235408333333336
020108,0.24318611666666667
020109,0.35843025833333336
020110,0.3231321583333333
020111,0.319708625
020112,0.17559371666666668
020201,0.17153025833333332
020202,0.2812245
020203,0.26055929166666664
020204,0.169488675
020205,0.24084054166666666
020301,-0.04266173333333333
020302,0.11946314166666666
020303,-0.12059460833333333
020304,0.1252952
020305,0.141644575
020306,0.158757525
020401,0.3727043583333333
020402,0.27127575833333334
