ubigeo,aai,co,ntl,no2,o3,pm25,sairtemp,sh,so2,sradiation,swindspeed,tmmn,tmmx,urban_area
010607,0.27188688333333333,0.03266805,0.3395737,4.179166666666667e-5,0.1168098,26.6574073720861,286.84458145,0.01043980833333333,1.5218333333333334e-4,216.81409920833335,3.868951433333333,10.3805017,21.9575435,27.9154633
010608,0.0077618249999999904,0.03502095833333333,0.385396,4.459166666666667e-5,0.11700429166666666,29.4944444762336,290.2825959666667,0.01223179166666666,1.77525e-4,216.34042085,3.704253441666667,14.052361283333331,25.220836891666668,0
010609,0.14180937500000002,0.03527386666666667,0.3395225,4.260833333333333e-5,0.116551325,28.95901638302,288.428854925,0.01118391666666666,1.9435833333333337e-4,216.78981068333337,3.4976304166666665,11.917545775,23.349345608333337,0
010610,-0.024127775,0.03633838333333333,0.3647425,4.3641666666666666e-5,0.116742575,29.4750000238419,290.805287675,0.012554025,2.1125833333333335e-4,215.72632725,3.838067425,13.5530651,24.795031716666667,0
010611,0.00192994166666666,0.03637445833333333,0.3863403,4.460833333333333e-5,0.11687045833333332,29.3437496423721,290.31423879166664,0.01228766666666666,1.9483443833333335e-4,216.12047265,3.8189944916666665,13.27475745,24.659762966666666,0
010612,0.4423924,0.03438725833333334,0.327384,4.1991666666666666e-5,0.117346475,29.4796610336519,287.1089859,0.01053319166666666,1.5824166666666666e-4,220.21206216666667,3.456861433333333,10.937172633333333,22.148174791666666,0
010701,0.159066825,0.03848130833333333,0.661296,4.709166666666667e-5,0.11730063333333332,23.5729272232443,294.81947943333336,0.01324921666666666,2.4760833333333334e-4,227.431626675,4.185380741666667,15.164520475,26.299174825,52.483869
010702,0.4264322,0.035982375,0.4097433,4.205833333333333e-5,0.11718456666666668,22.3418367113386,290.5945490666667,0.01162548333333333,1.2389042459166666e-4,211.335058925,4.3464967,12.903783766666669,23.852246383333338,30.505925
010703,0.185093325,0.03870427499999999,0.4393367,4.775833333333333e-5,0.11680088333333331,22.0825910761289,295.0974841916667,0.0129035,2.704e-4,229.50537833333337,4.21675605,14.779713658333334,26.160723975,19.1817303
010704,-0.162190475,0.0428088,0.6416311,4.791666666666667e-5,0.11731454166666667,23.0507999954224,298.8813264,0.01532805833333333,3.965416666666667e-4,231.858926825,4.251529891666666,17.821159883333333,28.675207325,61.720834
010705,0.33744084166666666,0.035568875,0.3864272,4.425e-5,0.11722278333333332,24.3667820003206,291.8446786083333,0.01197749166666666,1.2859166666666667e-4,220.20937671666667,4.173492566666667,13.46404565,24.7237587,0
010706,0.3844307,0.03654688333333333,0.4214957,4.3683333333333336e-5,0.1166772,22.7804635786852,292.294007975,0.011793675,2.02225e-4,223.48143031666663,4.03364925,13.09132435,24.714747058333337,9.8783962
010707,0.30787376666666666,0.03790135833333333,0.4083083,4.37e-5,0.11675050833333334,22.53055551317,294.17354071666665,0.01260734166666666,1.9496666666666667e-4,227.25008796666668,4.138085191666667,14.18700535,25.633454808333333,0
020101,0.1480917416666667,0.02507100833333333,1.0675812,5.1475e-5,0.11613343333333331,29.4699422031469,278.6743450083333,0.005987075,4.58225e-4,252.229595675,2.96999585,-0.3882578166666667,14.216983116666666,58.527446
020102,0.3588372083333333,0.029941225,0.3373216,4.988333333333333e-5,0.11648490833333332,25.1297296919264,283.61278704166665,0.007239425,3.8173333333333336e-4,250.983685225,3.006626541666667,5.805561216666667,20.442638783333333,0
020103,0.2795095083333333,0.03100730833333333,0.3816995,5.415e-5,0.11690783333333334,27.4325581040493,287.148529575,0.008556175,4.03325e-4,253.287771775,3.0732023083333333,9.214713725,23.60727385,0.9990785
020104,0.34472179166666667,0.03037115,0.3294118,5.205e-5,0.11646834166666668,25.9392857210977,284.0860675916667,0.00743604166666666,4.1425833333333335e-4,253.76023789166663,3.2359802166666665,5.959022841666667,20.069345841666667,0
020105,0.14259335,0.025062925,1.5630801,4.7566666666666666e-5,0.11627765,29.1904592615134,278.6920834,0.00616475833333333,3.981666666666667e-4,250.79868939166667,3.0538007916666667,-0.46532520833333335,14.267920541666667,57.5699313
020106,0.17413053333333334,0.02616336666666666,1.2786137,5.1141666666666665e-5,0.11583708333333333,28.8749998532809,279.4325736916667,0.0062422,4.46125e-4,257.07938290833334,2.9028218,1.913650425,16.918088466666667,9.8031537
020107,0.37235408333333336,0.02541269166666666,0.4800894,5.2e-5,0.11652835833333332,26.3414633370997,277.6136018916667,0.00535626666666666,3.930916666666667e-4,258.11965260833335,2.9420540666666666,0.3078622166666667,14.893964175,0
020108,0.24318611666666667,0.02545951666666666,0.33589,5.27e-5,0.11602394166666669,29.8942407338407,278.1790436333333,0.005895325,4.298416666666667e-4,248.35404185833335,2.800204716666667,-1.4783772,12.905689716666666,0
020109,0.35843025833333336,0.03308871666666666,0.311,5.468333333333333e-5,0.11653173333333332,26.62955328689,288.5562970666667,0.00901924166666666,4.668333333333333e-4,256.1032999083333,3.37064345,10.361427366666668,23.68751028333333,3.8810357
020110,0.3231321583333333,0.02859283333333333,0.3760732,4.96e-5,0.11669304166666666,26.5964788248841,282.699737225,0.00719833333333333,4.173583333333333e-4,254.77077383333332,2.937661325,4.197309025,18.496055458333338,11.0667155
020111,0.319708625,0.026286775,0.4401633,4.994166666666667e-5,0.116728675,27.2106481834694,278.9924298,0.0058909,4.4525e-4,255.429693825,2.8558296166666666,0.5342370333333334,15.22982505,0
020112,0.17559371666666668,0.0251797,0.5248753,4.796666666666667e-5,0.11615511666666668,28.7578945561459,278.65465516666666,0.006286125,3.620333333333333e-4,245.738961075,3.1184235333333334,-0.722968575,14.02625495,0
020201,0.17153025833333332,0.02416614166666666,0.3829597,5.3591666666666664e-5,0.11635220833333332,28.4376811013706,278.17122689999997,0.005317425,5.7255e-4,256.02195364166664,3.0930209166666667,-0.7294304333333334,13.567131308333334,0
020202,0.2812245,0.03075606666666666,0.2863561,5.300833333333333e-5,0.1162542,27.3092165388819,285.45698669166666,0.007834325,5.109166666666667e-4,254.408909575,3.317480425,7.002534008333333,21.052465216666665,0
020203,0.26055929166666664,0.0262312,0.4663476,5.385e-5,0.1164301,27.3531245589256,280.23730193333336,0.005985825,5.68675e-4,257.33201230000003,3.040489425,2.7350831166666665,17.4720935,0
020204,0.169488675,0.02442338333333333,0.3064311,5.1575e-5,0.11625706666666669,27.9724409298634,278.04722860833334,0.005432575,4.3455e-4,258.03137737500003,2.95897645,-0.387371475,14.033314508333332,0
020205,0.24084054166666663,0.02685983333333333,0.3334073,5.4575e-5,0.11660664166666666,27.3015387021578,279.92501603333335,0.0057833333333333304,5.983583333333334e-4,251.31224525833332,3.1731967333333335,1.369999008333333,15.9217277,0
020301,-0.04266173333333333,0.03074081666666666,0.4637197,4.773333333333333e-5,0.11627688333333332,33.2666666007336,282.8615580083333,0.009095975,3.904e-4,233.7549689,3.5232236416666667,6.46069505,21.803211283333333,0
020302,0.11946314166666666,0.02857049166666666,0.3935776,4.7783333333333334e-5,0.1166092,32.8946429320744,282.29052321666666,0.008870725,3.9738333333333333e-4,233.44548138333337,3.636735183333333,6.77653395,22.180725991666662,0
020303,-0.12059460833333333,0.03028425833333333,0.4403282,4.8341666666666665e-5,0.11631070833333332,33.4152540109925,284.01804054166666,0.00953995,3.5e-4,234.31761876666667,3.446233708333333,7.1196997416666665,22.455851816666662,0
020304,0.1252952,0.02908195833333333,0.3882375,4.718333333333333e-5,0.11673981666666666,33.7868422458046,281.2626348,0.008447175,5.088833333333333e-4,235.54970161666665,3.558496633333333,5.058865241666667,20.319487041666665,0
020305,0.141644575,0.02654535,0.4784931,4.876666666666667e-5,0.11650689166666668,31.8460429898269,278.99459624166667,0.00733755,3.923e-4,238.71820538333333,3.3996137666666666,1.20660855,16.149374616666666,0
020306,0.158757525,0.02640005,0.3055081,4.705833333333333e-5,0.11655039166666668,32.9440473147801,279.71033358333335,0.00767159166666666,3.6481666666666665e-4,238.14410124166668,3.5329692583333334,1.5841297333333335,16.496669625,0
020401,0.3727043583333333,0.02494178333333333,0.3670824,4.785e-5,0.11658921666666666,29.4254054146844,277.39596750833334,0.00627345,3.24925e-4,247.14656430833332,3.288480341666667,-1.4371192,13.253244133333332,0
020402,0.27127575833333334,0.02834465,0.3942284,4.849166666666667e-5,0.11678151666666668,30.4661539517916,280.83077505,0.00763281666666666,4.69325e-4,245.757665575,3.471719175,1.800788058333333,16.930714758333334,0
020501,0.00779763333333333,0.02637289166666667,0.6606795,5.18e-5,0.11615386666666666,31.2794701910966,280.643769225,0.00644265833333333,5.68075e-4,254.93982153333337,2.4213021,1.4543314833333334,15.570045966666669,20.1000791
020502,0.19488511666666664,0.03052600833333333,0.4146478,5.4216666666666665e-5,0.11604716666666666,31.1888889736599,286.6081899166667,0.00842416666666666,5.817416666666666e-4,248.6742363,2.3280371916666667,9.020736916666667,23.444471316666668,9.7769231
020503,0.3598723,0.031658775,0.3752664,5.658333333333333e-5,0.1162032,29.845454418298,288.5385227666667,0.00849658333333333,6.341916666666666e-4,253.90639075,3.4467721166666667,9.017473708333334,22.9781739,0
020504,0.25475298333333335,0.024057475,0.4365179,5.2175e-5,0.11606413333333332,30.7494536436321,276.49769054166666,0.00550483333333333,3.8163333333333336e-4,250.34428724166668,2.6522586416666667,-2.4740750333333335,11.471420983333331,0
020505,0.3818049,0.02506236666666666,0.4458984,5.264166666666667e-5,0.11691661666666668,29.3743420902051,279.2468032333333,0.00562106666666666,5.653499999999999e-4,255.82533954166664,2.9164950666666667,0.03304000833333331,14.032650583333334,0
020506,0.18839640833333332,0.02949870833333333,0.3855718,5.328333333333333e-5,0.116172375,33.1312497854233,282.429691725,0.00698654166666666,5.54175e-4,253.63078615833336,2.43932775,3.8714269583333336,18.1098713,0
020507,0.325977125,0.03365916666666666,0.3531918,5.755e-5,0.116644975,30.0674602644784,290.5720181666667,0.00942405833333333,6.946583333333333e-4,259.708781275,3.560250716666667,11.20747285,24.04096450833333,0
020508,0.1926477,0.02469086666666666,0.4395359,4.9525e-5,0.11617201666666668,32.4057691901393,277.62194055,0.00647315833333333,4.10475e-4,247.83812853333333,3.4277199416666666,-1.079781975,12.997113933333331,0
020509,0.09262508333333332,0.02556494166666666,0.3421434,5.025e-5,0.115793725,30.9969039598117,278.1319736916667,0.00608699166666666,5.979916666666666e-4,249.3810670916667,2.69752455,-0.75477725,13.229022958333331,2.5702533
020510,0.3918924833333333,0.026217125,0.3519578,5.294166666666667e-5,0.11689625833333334,27.9783504722045,279.8691943333333,0.005712775,5.763096628166667e-4,253.85485294166668,3.1611399583333335,0.961272175,14.988716083333331,0
020511,0.14102555,0.02944915,0.3393014,5.3933333333333334e-5,0.11580965833333332,30.469230725215,283.49988898333334,0.00744770833333333,5.962833333333333e-4,249.31704371666663,2.325648525,4.119219541666666,18.420588525,0
020512,0.10524981666666666,0.0284343,0.3527912,5.2175e-5,0.11583354166666666,30.983333494149,283.79743034166665,0.007545425,5.280666666666666e-4,248.107027,2.3325461,3.2119025416666664,17.311845425,0
020513,0.01703521666666667,0.025624725,0.3767355,5.175e-5,0.11596641666666668,30.4919540471044,277.43160679166664,0.00577459166666666,4.552583333333333e-4,247.899081575,2.523470458333333,-0.5758612416666666,13.398719108333331,9.7790881
020514,0.2567084,0.02752618333333333,0.3960028,5.190833333333333e-5,0.11643764166666666,33.718918826129,279.4216547666667,0.00598840833333333,5.338750000000001e-4,256.52495109166665,2.487419025,1.242288141666667,15.346451091666667,0
020515,0.15627485833333332,0.02604234166666666,0.3781938,5.209166666666667e-5,0.11665235,31.4443038264407,279.69329915000003,0.00609985,7.116083333333333e-4,256.42901370833334,2.454364575,0.835884475,14.914151258333334,0
