ubigeo,department,province,district,population,idh,monetary_poverty,life_expectancy,complete_secondary_edu,years_edu,family_income,hh_1_nbi_or_more,hh_inadequate_char,overcrowded_hh,hh_wo_sanitation,hh_school_absence,hh_high_economic_dependence
150101,LIMA,LIMA,LIMA,268352,0.746010874,0.07958984,0.9480573981666666,0.782691556,0.6527535211267605,0.6126760539553753,0.07116252462975911,0.006699294476577893,0.053950295557109264,4.1950041314434627e-4,0.010767177270704888,0.0031271848979851267
150102,LIMA,LIMA,ANCON,62928,0.656473404,0.19246935,0.8898521410000001,0.724031961,0.5168661971830987,0.519715445030426,0.2042511745158703,0.12988426721668386,0.06027271685573508,0.011401397960352928,0.013578549329666552,0.006932508307551277
150103,LIMA,LIMA,ATE,599196,0.700430248,0.17174936,0.9337706831666668,0.766107408,0.5660915492957747,0.5588127127789047,0.15927508561384368,0.06852744188865655,0.07487953450313665,0.012552656302088069,0.014389186895778405,0.0067945570809467525
150104,LIMA,LIMA,BARRANCO,34378,0.801234733,0.03172325,0.9445979883333334,0.786570743,0.7417112676056338,0.7129284628803245,0.031105689640149866,0.003310969765618193,0.02361244227585606,0,0.00496645464842729,7.841770497516772e-4
150105,LIMA,LIMA,BRENA,85309,0.785999689,0.04041467,0.9401354318333333,0.792611895,0.69999295774647885,0.6934251257606491,0.05240448733035224,0.005138463952302503,0.04099003687142073,0,0.006629010747626893,0.001098297638660077
150106,LIMA,LIMA,CARABAYLLO,333045,0.662879143,0.19176021,0.9129094821666667,0.744076833,0.5386971830985916,0.5039577200811359,0.18176793671629418,0.09055004778518544,0.0769283913088535,0.014162838094580124,0.014151323592064205,0.00777228919824519
150107,LIMA,LIMA,CHACLACAYO,42912,0.727064248,0.09712625,0.9627281746666666,0.780766852,0.6313380281690141,0.5686211744421906,0.08955755363660643,0.01335351197364907,0.05252381376301967,0.01157304371049586,0.010949879818392237,0.006765779399982195
150108,LIMA,LIMA,CHORRILLOS,314241,0.738221736,0.1160839,0.9358285350000001,0.770687263,0.6205281690140845,0.6216477419878296,0.10578649857175572,0.0370740879123528,0.05727440369294556,0.0034109125094914966,0.01163085007653461,0.0044474442261567574
150109,LIMA,LIMA,CIENEGUILLA,34684,0.650977805,0.17529394,0.8833725448333333,0.699186992,0.5178098591549297,0.5190065273833672,0.22924243998752988,0.1387301257404136,0.08043229762028474,0.02275797568325886,0.012054452873324326,0.006442897225397485
150110,LIMA,LIMA,COMAS,520450,0.7081597,0.16044523,0.9438671930000001,0.782665066,0.582894366197183,0.5570572486815415,0.12953000919186897,0.04477645676054428,0.06841161490589635,0.008822687340837515,0.014571372602203035,0.007187740156412459
150111,LIMA,LIMA,EL AGUSTINO,198862,0.70122061,0.16689837,0.9863923353333334,0.738624843,0.5541760563380282,0.5463594937119675,0.11138585171734343,0.016825715720743345,0.07839122203763088,7.340725572769772e-4,0.01545415910056794,0.007089595487385542
150112,LIMA,LIMA,INDEPENDENCIA,211360,0.697405438,0.20590949,0.941299514,0.766261415,0.5536901408450704,0.553230709127789,0.1605731862302691,0.06312047593612437,0.08476230821652883,0.01232203046433242,0.01333505240086199,0.009725010590683881
150113,LIMA,LIMA,JESUS MARIA,75359,0.836180982,0.00519235,0.9528439689999999,0.814129353,0.7956901408450705,0.7623604770791075,0.019038413045305538,0.002017315289568799,0.012103891737412793,0,0.004833151214591914,5.88383626124233e-4
150114,LIMA,LIMA,LA MOLINA,140679,0.793272471,0.01168268,0.956069831,0.784706622,0.8054929577464788,0.6567392945233266,0.02094670145359672,0.003752018884333458,0.012846316312585414,3.230214933532116e-4,0.003975649148962604,8.448254441545533e-4
150115,LIMA,LIMA,LA VICTORIA,173630,0.712486256,0.11057018,0.9391683336666666,0.750875939,0.6073873239436619,0.570254967545639,0.10414222013611828,0.00801846201987014,0.08538684189939763,1.9557224438707658e-4,0.012340608620824532,0.003226942032386764
150116,LIMA,LIMA,LINCE,54711,0.822136078,0.01452933,0.9537549356666666,0.828821656,0.7575422535211268,0.7352928559837728,0.03374924421480789,0.006046281536854835,0.023415599406365086,0,0.005386687187379761,4.3972956631671523e-4
150117,LIMA,LIMA,LOS OLIVOS,325884,0.753197914,0.07881448,0.9537636956666666,0.795136872,0.6543239436619718,0.6211109488843813,0.06534891753668565,0.0060947754292526935,0.0485242175400283,4.456874171299959e-5,0.010351090262844155,0.0028858260259167234
150118,LIMA,LIMA,LURIGANCHO,240814,0.678874995,0.18234247,0.9223704180000001,0.747846094,0.5419225352112677,0.5328308385395537,0.21148880264568642,0.08587910179550294,0.07440237990969632,0.05924102626055179,0.013409643466574047,0.00851693571525649
150119,LIMA,LIMA,LURIN,89195,0.691154232,0.18264468,0.9117291938333333,0.712550607,0.5438802816901408,0.5817006373225152,0.18931489629164047,0.08015922899643829,0.07278441231929604,0.03846637335009428,0.014917242824219568,0.005405405405405406
150120,LIMA,LIMA,MAGDALENA DEL MAR,60290,0.827377375,0.00782218,0.9545157296666666,0.799645839,0.7838521126760564,0.7494832401622717,0.02411767763397266,0.0024949321690316546,0.016113103591662768,0,0.00556161962679973,8.316440563438848e-4
150121,LIMA,LIMA,PUEBLO LIBRE,83323,0.829684602,0.00779682,0.9535618466666667,0.827052822,0.7932746478873239,0.7394551062880325,0.020676335820047714,0.002385731056159352,0.01325406142310751,0,0.005301624569243004,5.301624569243004e-4
