department,province,district,ubigeo,population_permanent,idh,monetary_poverty,life_expectancy,complete_secondary_edu,years_edu,edu_achievement,family_income,hh_1_nbi_or_more,hh_inadequate_char,overcrowded_hh,hh_wo_sanitation,hh_school_absence,hh_high_economic_dependence,aai,co,ntl,no2,o3,pm25,so2,tmmn,tmmx,new_cases,intra_mob,in_degree,out_degree,degree,in_strength,out_strength,strength,in_closeness,out_closeness,closeness,betweenness,page_rank,alpha,authority,hub
LIMA,LIMA,EL AGUSTINO,150111,191624,0.70122061,0.16689837,0.9863923353333334,0.738624843,0.5541760563380282,0.7393476951996839,0.5463594937119675,0.11138585171734344,0.01682571572074334,0.07839122203763088,7.340725572769772e-4,0.01545415910056794,0.00708959548738554,0.8868205202160128,0.7858889353355406,0.5129372321473041,0.8851985559566788,0.6451510955070908,0.8463707059230637,0.4813968957871397,0.6782172465861948,0.7079902351427058,326,0.4515403763282567,1,1,1,0.048955221948708993,0.9649963788414825,0.09790742973980066,0.169312832107183,0.5860970706092898,0.8284967574804264,0,0.06379370913848588,0.45879123863968124,0.04908953988668479,0.7306499611418079
LIMA,LIMA,INDEPENDENCIA,150112,204990,0.697405438,0.20590949,0.941299514,0.766261415,0.5536901408450704,0.7219336953516273,0.553230709127789,0.1605731862302691,0.06312047593612437,0.08476230821652883,0.01232203046433242,0.01333505240086199,0.00972501059068388,0.7150792885230898,0.7795697610855665,0.4653854052324099,0.7340411977065193,0.3097644645432726,0.6799253678689193,0.08452328159645232,0.8029186260225815,0.4795116162694544,270,0.543083304891176,0.9090909090909091,1,0.9473684210526315,0.09474899153838544,0.8126301413844875,0.1330941487057026,0.12430218552492495,0.6077599038512557,0.8490830580769799,0,0.08197273945809128,0.5022701920552913,0.08520872121454391,0.5505978118949668
LIMA,LIMA,JESUS MARIA,150113,69031,0.836180982,0.00519235,0.952843969,0.814129353,0.7956901408450705,0.8707287475999549,0.7623604770791075,0.01903841304530553,0.00201731528956879,0.01210389173741279,0,0.00483315121459191,5.88383626124233e-4,0.4929237247623238,0.4160982668252997,0.7294018401990277,0.518071777447441,0.5269466583155855,0.6623561555088078,0.1939467849223948,0.8617027448702441,0.46035850269470263,18,0.3558143238890757,1,0.875,0.9473684210526315,0.32092773648938483,0.9040596393311846,0.3556864428366512,0.013286211919531495,0.6928747346679495,0.5047177758070629,0,0.47622592127381114,0.19014404902190193,0.33198209392887623,0.876579198192416
LIMA,LIMA,LA MOLINA,150114,134095,0.793272471,0.01168268,0.956069831,0.784706622,0.8054929577464788,0.8775576995185935,0.6567392945233266,0.02094670145359672,0.00375201888433345,0.01284631631258541,3.230214933532116e-4,0.0039756491489626,8.448254441545533e-4,0.6395209864224353,0.6965188591273038,0.3572143849305044,0.7021448290507537,0.714375190341854,0.9216394503458608,0.6482926829268293,0.4615580756171664,0.6618518947725722,35,0.4451417302517601,1,1,1,0.40762267033817295,0.8437079975799554,0.4354904102040417,0.01561738892117645,0.6898022078435082,0.7266280985803332,0,0.4198940731701533,0.3678829510659828,0.3992263163570265,0.7679282055646058
LIMA,LIMA,LA VICTORIA,150115,166465,0.712486256,0.11057018,0.9391683336666666,0.750875939,0.6073873239436619,0.7552740833091156,0.570254967545639,0.10414222013611828,0.00801846201987014,0.08538684189939763,1.9557224438707655e-4,0.01234060862082453,0.00322694203238676,0.7310643167469548,0.5580243737740752,0.8057385382940928,0.6683372265873859,0.5860402576582107,0.7510829240222678,0.17166297117516635,0.7983020942849057,0.6273359725827036,353,0.589374679890115,1,1,1,0.36684985123857283,0.9363367675010368,0.4016733756276081,0.021723772639271853,0.6940609093730336,0.7459707228818941,0,0.4024081163720042,0.34664471414437437,0.36872965002820646,0.7927716093964718
LIMA,LIMA,LINCE,150116,52055,0.822136078,0.01452933,0.9537549356666666,0.828821656,0.7575422535211268,0.8500056842585372,0.7352928559837728,0.03374924421480789,0.00604628153685483,0.02341559940636508,0,0.00538668718737976,4.397295663167152e-4,0.5204829971149032,0.4331213222290112,0.8931026786517612,0.5088553833085581,0.4190910710283948,0.6863982717831676,0.10571872687361428,0.8074089508457294,0.49896353191372567,41,0.3871517771373679,1,0.875,0.9473684210526315,0.20262059239344105,0.9465766921252977,0.2444791814548185,0.02087705010753388,0.6664741868922428,0.5812358105692046,0,0.28610150022578557,0.1034275349586963,0.20568866638824485,0.9746739483201226
LIMA,LIMA,LOS OLIVOS,150117,313849,0.753197914,0.07881448,0.9537636956666666,0.795136872,0.6543239436619718,0.789981279949234,0.6211109488843813,0.06534891753668565,0.00609477542925269,0.0485242175400283,4.456874171299959e-5,0.01035109026284415,0.00288582602591672,0.6491204037602292,0.755723335155472,0.755016616594252,0.6013166277341263,0.2769940642076916,0.6652182994701735,0.24822616407982265,0.966095199639893,0.4067823432758671,294,0.5361891954480634,1,1,1,0.31702750429410936,0.706060633352015,0.3404900356906406,0.043990548875082816,0.6166513145511818,0.8720253692431753,0,0.21229900947840924,0.4094594747836647,0.27129932668426204,0.4764569995327833
LIMA,LIMA,LURIGANCHO,150118,230013,0.678874995,0.18234247,0.922370418,0.747846094,0.5419225352112677,0.7070030518508649,0.5328308385395537,0.2114888026456864,0.08587910179550294,0.07440237990969632,0.05924102626055179,0.01340964346657404,0.00851693571525649,0.27457539899787115,0.6679057204411718,0.091745651729657,0.915226162667233,0.03635600963058143,0.47325946445461126,0.7191352549889135,0.00886673394200574,0.4130966438959195,238,0.6670386048865781,0.9090909090909091,1,0.9473684210526315,0.10398945142632306,0.7969622829492333,0.14106610672879188,0.14628497568950521,0.5938482530167862,0.5305136495077574,0.009787928221859706,0.07634527432883328,0.3909696378207089,0.09886234469255142,0.44029474240254257
LIMA,LIMA,LURIN,150119,85227,0.691154232,0.18264468,0.9117291938333332,0.712550607,0.5438802816901408,0.704181461533317,0.5817006373225152,0.18931489629164047,0.08015922899643829,0.07278441231929604,0.03846637335009428,0.01491724282421956,0.0054054054054054,0.8693494776524778,0.10033120036013872,0.08656403921881146,0.2187725631768952,0.6112946692792806,0.26505663291096654,0.4836585365853659,0.4794378188169762,0.6752478242566656,59,0.676454553714753,1,1,1,0.27849899615625257,0.93085683091427,0.316471775367183,0.05557964501733579,0.5199965710153639,0,0,0.12070938652210461,0.4066637955088651,0.21834756813579428,0.26901732680930607
LIMA,LIMA,MAGDALENA DEL MAR,150120,57535,0.827377375,0.00782218,0.9545157296666666,0.799645839,0.7838521126760564,0.8649850699762073,0.7494832401622717,0.02411767763397266,0.00249493216903165,0.01611310359166276,0,0.00556161962679973,8.316440563438848e-4,0.3800866492568571,0.37451493617158177,0.6062062464124691,0.4331705245275003,0.4433226646133736,0.32175964840623017,0.1833702882483371,0.8838316862215141,0.12096708644389512,27,0.3186690678329474,1,0.875,0.9473684210526315,0.1082137697132987,0.8824584795133193,0.15006847084768016,0.10421775903759402,0.6297958123444227,0.6574682769006774,0.01468189233278956,0.1846082882492541,1,0.11312866752580217,0.838732168380916
