type,origin,destination,flow
Total,150119,150112,56
Total,150119,150113,267
Total,150119,150114,419
Total,150119,150115,437
Total,150119,150116,279
Total,150119,150117,169
Total,150119,150118,99
Total,150119,150119,41816
Total,150119,150120,74
Total,150119,150121,113
Total,150119,150122,863
Total,150119,150123,1535
Total,150119,150124,77
Total,150119,150125,39
Total,150119,150126,526
Total,150119,150127,183
Total,150119,150128,116
Total,150119,150129,204
Total,150119,150130,488
Total,150119,150131,616
Total,150119,150132,198
Total,150119,150133,993
Total,150119,150134,191
Total,150119,150135,74
Total,150119,150136,133
Total,150119,150137,181
Total,150119,150138,16
Total,150119,150139,6
Total,150119,150140,1941
Total,150119,150141,333
Total,150119,150142,3617
Total,150119,150143,2095
Total,150120,070101,1149
Total,150120,070102,188
Total,150120,070103,48
Total,150120,070104,98
Total,150120,070105,29
Total,150120,070106,67
Total,150120,070107,1
Total,150120,150101,3233
Total,150120,150102,11
Total,150120,150103,362
Total,150120,150104,220
Total,150120,150105,849
Total,150120,150106,17
Total,150120,150107,9
Total,150120,150108,490
Total,150120,150109,10
Total,150120,150110,71
Total,150120,150111,77
Total,150120,150112,111
Total,150120,150113,2850
Total,150120,150114,893
Total,150120,150115,725
Total,150120,150116,760
Total,150120,150117,275
Total,150120,150118,72
Total,150120,150119,128
Total,150120,150120,13950
Total,150120,150121,1551
Total,150120,150122,3100
Total,150120,150123,46
Total,150120,150124,3
Total,150120,150125,62
Total,150120,150126,7
Total,150120,150127,2
Total,150120,150128,167
Total,150120,150129,3
Total,150120,150130,947
Total,150120,150131,5282
Total,150120,150132,176
Total,150120,150133,91
Total,150120,150134,108
Total,150120,150135,296
Total,150120,150136,3308
Total,150120,150137,206
Total,150120,150139,1
Total,150120,150140,1736
Total,150120,150141,581
Total,150120,150142,146
Total,150120,150143,42
Total,150121,070101,1613
Total,150121,070102,258
Total,150121,070103,72
Total,150121,070104,119
Total,150121,070105,39
Total,150121,070106,88
Total,150121,070107,2
Total,150121,150101,5906
Total,150121,150102,11
Total,150121,150103,534
Total,150121,150104,238
Total,150121,150105,2323
Total,150121,150106,35
Total,150121,150107,20
Total,150121,150108,620
Total,150121,150109,10
Total,150121,150110,158
Total,150121,150111,204
Total,150121,150112,189
Total,150121,150113,4863
Total,150121,150114,1232
Total,150121,150115,1189
Total,150121,150116,1307
Total,150121,150117,483
Total,150121,150118,115
Total,150121,150119,156
Total,150121,150120,2156
Total,150121,150121,18229
Total,150121,150122,3022
Total,150121,150123,47
Total,150121,150124,3
Total,150121,150125,84
Total,150121,150126,10
Total,150121,150128,368
Total,150121,150129,3
Total,150121,150130,1208
Total,150121,150131,5291
Total,150121,150132,367
Total,150121,150133,110
Total,150121,150134,212
Total,150121,150135,598
Total,150121,150136,4671
Total,150121,150137,276
Total,150121,150138,2
Total,150121,150139,1
Total,150121,150140,2142
Total,150121,150141,703
Total,150121,150142,152
Total,150121,150143,45
Total,150122,070101,1222
Total,150122,070102,76
Total,150122,070103,25
Total,150122,070104,43
Total,150122,070105,27
Total,150122,070106,78
Total,150122,150101,2927
Total,150122,150102,6
Total,150122,150103,663
Total,150122,150104,1229
Total,150122,150105,320
Total,150122,150106,8
Total,150122,150107,16
Total,150122,150108,1833
Total,150122,150109,11
Total,150122,150110,80
Total,150122,150111,83
Total,150122,150112,81
Total,150122,150113,1967
Total,150122,150114,1964
Total,150122,150115,963
Total,150122,150116,854
Total,150122,150117,202
Total,150122,150118,103
Total,150122,150119,279
Total,150122,150120,939
Total,150122,150121,550
Total,150122,150122,30383
Total,150122,150123,120
Total,150122,150124,8
Total,150122,150125,44
Total,150122,150126,26
Total,150122,150127,7
Total,150122,150128,141
Total,150122,150129,4
Total,150122,150130,1731
Total,150122,150131,9476
Total,150122,150132,171
Total,150122,150133,159
Total,150122,150134,184
Total,150122,150135,308
Total,150122,150136,1618
Total,150122,150137,212
Total,150122,150138,2
Total,150122,150139,1
Total,150122,150140,5366
Total,150122,150141,1695
Total,150122,150142,352
Total,150122,150143,89
Total,150123,070101,371
Total,150123,070102,21
Total,150123,070103,8
Total,150123,070104,20
Total,150123,070105,5
Total,150123,070106,29
Total,150123,150101,2242
Total,150123,150102,17
Total,150123,150103,2527
Total,150123,150104,123
Total,150123,150105,179
Total,150123,150106,28
Total,150123,150107,38
Total,150123,150108,492
Total,150123,150109,885
Total,150123,150110,72
Total,150123,150111,235
Total,150123,150112,123
Total,150123,150113,414
Total,150123,150114,10878
Total,150123,150115,1536
Total,150123,150116,677
Total,150123,150117,237
Total,150123,150118,308
Total,150123,150119,1697
Total,150123,150120,164
Total,150123,150121,173
Total,150123,150122,963
Total,150123,150123,42834
Total,150123,150124,23
Total,150123,150125,71
Total,150123,150126,94
Total,150123,150127,21
Total,150123,150128,162
Total,150123,150129,35
Total,150123,150130,1176
Total,150123,150131,1124
Total,150123,150132,539
Total,150123,150133,406
Total,150123,150134,502
Total,150123,150135,154
Total,150123,150136,289
Total,150123,150137,1730
Total,150123,150138,1
Total,150123,150139,1
Total,150123,150140,2013
Total,150123,150141,312
Total,150123,150142,709
Total,150123,150143,318
Total,150124,070101,50
Total,150124,070102,4
Total,150124,070104,1
Total,150124,070105,4
Total,150124,070106,1
Total,150124,150101,262
Total,150124,150102,4
Total,150124,150103,27
Total,150124,150104,13
Total,150124,150105,24
Total,150124,150107,2
Total,150124,150108,76
Total,150124,150109,5
Total,150124,150110,6
Total,150124,150111,9
Total,150124,150112,9
Total,150124,150113,31
Total,150124,150114,37
Total,150124,150115,30
Total,150124,150116,41
Total,150124,150117,23
Total,150124,150118,10
Total,150124,150119,297
Total,150124,150120,5
Total,150124,150121,10
Total,150124,150122,62
Total,150124,150123,39
Total,150124,150124,7036
Total,150124,150125,6
Total,150124,150126,60
Total,150124,150127,88
Total,150124,150128,6
Total,150124,150129,199
Total,150124,150130,32
Total,150124,150131,49
Total,150124,150132,30
Total,150124,150133,66
Total,150124,150134,20
Total,150124,150135,14
Total,150124,150136,11
Total,150124,150137,26
Total,150124,150138,5
Total,150124,150140,146
Total,150124,150141,16
Total,150124,150142,144
Total,150124,150143,27
Total,150125,070101,5152
Total,150125,070102,360
Total,150125,070103,156
Total,150125,070104,169
Total,150125,070105,66
Total,150125,070106,3420
Total,150125,070107,135
Total,150125,150101,9738
Total,150125,150102,1694
Total,150125,150103,1103
Total,150125,150104,281
Total,150125,150105,1159
Total,150125,150106,2001
Total,150125,150107,40
Total,150125,150108,705
Total,150125,150109,41
Total,150125,150110,6195
Total,150125,150111,340
Total,150125,150112,4124
Total,150125,150113,1822
Total,150125,150114,1050
Total,150125,150115,2404
Total,150125,150116,1049
Total,150125,150117,22353
Total,150125,150118,578
Total,150125,150119,483
Total,150125,150120,582
Total,150125,150121,789
Total,150125,150122,2219
Total,150125,150123,96
Total,150125,150124,35
Total,150125,150125,136446
Total,150125,150126,42
Total,150125,150127,6
Total,150125,150128,1154
Total,150125,150129,45
Total,150125,150130,1158
Total,150125,150131,2530
Total,150125,150132,1206
Total,150125,150133,244
Total,150125,150134,345
Total,150125,150135,5341
Total,150125,150136,1836
Total,150125,150137,1029
Total,150125,150139,120
Total,150125,150140,1972
Total,150125,150141,646
Total,150125,150142,428
Total,150125,150143,135
Total,150126,070101,59
Total,150126,070102,5
Total,150126,070103,2
Total,150126,070104,2
Total,150126,070105,2
Total,150126,070106,3
Total,150126,150101,352
Total,150126,150102,3
Total,150126,150103,116
Total,150126,150104,32
Total,150126,150105,27
Total,150126,150106,2
Total,150126,150107,2
Total,150126,150108,304
Total,150126,150109,15
Total,150126,150110,10
Total,150126,150111,28
Total,150126,150112,7
Total,150126,150113,60
Total,150126,150114,114
Total,150126,150115,164
Total,150126,150116,53
Total,150126,150117,23
Total,150126,150118,22
Total,150126,150119,1577
Total,150126,150120,16
Total,150126,150121,19
Total,150126,150122,206
Total,150126,150123,121
Total,150126,150124,9
Total,150126,150125,5
Total,150126,150126,5187
Total,150126,150127,201
Total,150126,150128,17
Total,150126,150129,90
Total,150126,150130,81
Total,150126,150131,146
Total,150126,150132,77
Total,150126,150133,237
Total,150126,150134,40
Total,150126,150135,15
Total,150126,150136,35
Total,150126,150137,69
Total,150126,150138,7
Total,150126,150139,17
Total,150126,150140,350
Total,150126,150141,67
Total,150126,150142,545
Total,150126,150143,96
Total,150127,070101,29
Total,150127,070102,4
Total,150127,070106,1
Total,150127,150101,171
Total,150127,150102,2
Total,150127,150103,26
Total,150127,150104,12
Total,150127,150105,17
Total,150127,150106,4
Total,150127,150107,1
Total,150127,150108,88
Total,150127,150109,2
Total,150127,150110,3
Total,150127,150111,5
Total,150127,150112,4
Total,150127,150113,31
Total,150127,150114,52
Total,150127,150115,47
Total,150127,150116,19
Total,150127,150117,21
Total,150127,150118,3
Total,150127,150119,648
Total,150127,150120,10
Total,150127,150121,13
Total,150127,150122,76
Total,150127,150123,70
Total,150127,150124,18
Total,150127,150125,3
Total,150127,150126,157
Total,150127,150127,2386
Total,150127,150128,6
Total,150127,150129,238
Total,150127,150130,38
Total,150127,150131,65
Total,150127,150132,14
Total,150127,150133,56
Total,150127,150134,17
Total,150127,150135,16
Total,150127,150136,10
Total,150127,150137,8
Total,150127,150138,8
Total,150127,150140,178
Total,150127,150141,21
Total,150127,150142,94
Total,150127,150143,21
Total,150128,070101,2181
Total,150128,070102,155
Total,150128,070103,47
Total,150128,070104,63
Total,150128,070105,26
Total,150128,070106,161
Total,150128,070107,1
Total,150128,150101,15775
Total,150128,150102,60
Total,150128,150103,1317
Total,150128,150104,291
Total,150128,150105,2189
Total,150128,150106,142
Total,150128,150107,17
Total,150128,150108,675
Total,150128,150109,16
Total,150128,150110,644
Total,150128,150111,401
Total,150128,150112,1146
Total,150128,150113,2712
Total,150128,150114,1280
Total,150128,150115,3197
Total,150128,150116,2644
Total,150128,150117,2397
Total,150128,150118,481
Total,150128,150119,281
Total,150128,150120,671
Total,150128,150121,946
Total,150128,150122,2962
Total,150128,150123,56
Total,150128,150124,30
Total,150128,150125,310
Total,150128,150126,22
Total,150128,150127,4
Total,150128,150128,59229
Total,150128,150129,14
Total,150128,150130,1292
Total,150128,150131,3886
Total,150128,150132,2835
Total,150128,150133,233
Total,150128,150134,390
Total,150128,150135,1982
Total,150128,150136,1230
Total,150128,150137,1060
Total,150128,150139,4
Total,150128,150140,1888
Total,150128,150141,879
Total,150128,150142,304
Total,150128,150143,102
Total,150129,070101,23
Total,150129,070102,1
Total,150129,070103,1
Total,150129,070105,2
Total,150129,150101,150
Total,150129,150103,24
Total,150129,150104,17
Total,150129,150105,13
Total,150129,150107,3
Total,150129,150108,91
Total,150129,150109,2
Total,150129,150110,1
Total,150129,150111,1
Total,150129,150112,3
Total,150129,150113,37
Total,150129,150114,62
Total,150129,150115,31
Total,150129,150116,32
Total,150129,150117,13
Total,150129,150118,3
Total,150129,150119,385
Total,150129,150120,14
Total,150129,150121,8
Total,150129,150122,82
Total,150129,150123,50
Total,150129,150124,32
Total,150129,150125,1
Total,150129,150126,91
Total,150129,150127,180
Total,150129,150128,3
Total,150129,150129,2990
Total,150129,150130,43
Total,150129,150131,59
Total,150129,150132,8
Total,150129,150133,43
Total,150129,150134,16
Total,150129,150135,12
Total,150129,150136,12
Total,150129,150137,16
Total,150129,150138,86
Total,150129,150140,193
Total,150129,150141,30
Total,150129,150142,86
Total,150129,150143,16
Total,150130,070101,1506
Total,150130,070102,142
Total,150130,070103,35
Total,150130,070104,86
Total,150130,070105,67
Total,150130,070106,56
Total,150130,150101,4360
Total,150130,150102,29
Total,150130,150103,1641
Total,150130,150104,416
Total,150130,150105,543
Total,150130,150106,34
Total,150130,150107,25
Total,150130,150108,1284
Total,150130,150109,36
Total,150130,150110,127
Total,150130,150111,209
Total,150130,150112,162
Total,150130,150113,2416
Total,150130,150114,4255
Total,150130,150115,2794
Total,150130,150116,1206
Total,150130,150117,297
Total,150130,150118,240
Total,150130,150119,382
Total,150130,150120,676
Total,150130,150121,648
Total,150130,150122,5403
Total,150130,150123,122
Total,150130,150124,13
Total,150130,150125,90
Total,150130,150126,16
Total,150130,150127,3
Total,150130,150128,251
Total,150130,150129,10
Total,150130,150130,24563
Total,150130,150131,8400
Total,150130,150132,444
Total,150130,150133,388
Total,150130,150134,1120
Total,150130,150135,464
Total,150130,150136,1319
Total,150130,150137,517
Total,150130,150138,1
Total,150130,150139,3
Total,150130,150140,9658
Total,150130,150141,2265
Total,150130,150142,396
Total,150130,150143,165
Total,150131,070101,748
Total,150131,070102,68
Total,150131,070103,32
Total,150131,070104,22
Total,150131,070105,22
Total,150131,070106,47
Total,150131,150101,1955
Total,150131,150102,6
Total,150131,150103,384
Total,150131,150104,342
Total,150131,150105,271
Total,150131,150106,10
Total,150131,150107,7
Total,150131,150108,798
Total,150131,150109,12
Total,150131,150110,52
Total,150131,150111,49
Total,150131,150112,82
Total,150131,150113,1761
Total,150131,150114,1565
Total,150131,150115,761
Total,150131,150116,966
Total,150131,150117,123
Total,150131,150118,65
Total,150131,150119,137
Total,150131,150120,829
Total,150131,150121,463
Total,150131,150122,4972
Total,150131,150123,67
Total,150131,150124,4
Total,150131,150125,42
Total,150131,150126,8
Total,150131,150127,1
Total,150131,150128,97
Total,150131,150129,4
Total,150131,150130,1199
Total,150131,150131,17205
Total,150131,150132,112
Total,150131,150133,66
Total,150131,150134,119
Total,150131,150135,205
Total,150131,150136,1301
Total,150131,150137,116
Total,150131,150138,1
Total,150131,150140,2887
Total,150131,150141,691
Total,150131,150142,139
Total,150131,150143,38
Total,150132,070101,8311
Total,150132,070102,643
Total,150132,070103,179
Total,150132,070104,341
Total,150132,070105,124
Total,150132,070106,542
Total,150132,070107,5
Total,150132,150101,57588
Total,150132,150102,305
Total,150132,150103,8333
Total,150132,150104,1134
Total,150132,150105,5633
Total,150132,150106,417
Total,150132,150107,194
Total,150132,150108,3479
Total,150132,150109,133
Total,150132,150110,1614
Total,150132,150111,4464
Total,150132,150112,2411
Total,150132,150113,9106
Total,150132,150114,7370
Total,150132,150115,25678
Total,150132,150116,7362
Total,150132,150117,4457
Total,150132,150118,4964
Total,150132,150119,1889
Total,150132,150120,2569
Total,150132,150121,3315
Total,150132,150122,10129
Total,150132,150123,457
Total,150132,150124,134
Total,150132,150125,1237
Total,150132,150126,125
Total,150132,150127,42
Total,150132,150128,6091
Total,150132,150129,82
Total,150132,150130,8434
Total,150132,150131,12671
Total,150132,150132,478772
Total,150132,150133,1823
Total,150132,150134,2730
Total,150132,150135,3718
Total,150132,150136,4533
Total,150132,150137,8625
Total,150132,150138,9
Total,150132,150139,23
Total,150132,150140,11457
Total,150132,150141,3600
Total,150132,150142,2265
Total,150132,150143,891
Total,150133,070101,1748
Total,150133,070102,106
Total,150133,070103,25
Total,150133,070104,77
Total,150133,070105,38
Total,150133,070106,110
Total,150133,070107,1
Total,150133,150101,9713
Total,150133,150102,66
Total,150133,150103,2625
Total,150133,150104,1491
Total,150133,150105,1069
Total,150133,150106,74
Total,150133,150107,60
Total,150133,150108,9643
Total,150133,150109,79
Total,150133,150110,330
Total,150133,150111,500
Total,150133,150112,347
Total,150133,150113,2759
Total,150133,150114,3595
Total,150133,150115,4539
Total,150133,150116,2346
Total,150133,150117,1041
Total,150133,150118,589
Total,150133,150119,2168
Total,150133,150120,919
Total,150133,150121,1036
Total,150133,150122,11085
Total,150133,150123,538
Total,150133,150124,105
Total,150133,150125,237
Total,150133,150126,201
Total,150133,150127,50
Total,150133,150128,754
Total,150133,150129,92
Total,150133,150130,5908
Total,150133,150131,6699
Total,150133,150132,1519
Total,150133,150133,128905
Total,150133,150134,1421
Total,150133,150135,680
Total,150133,150136,1295
Total,150133,150137,1916
Total,150133,150138,4
Total,150133,150139,7
Total,150133,150140,19777
Total,150133,150141,4796
Total,150133,150142,8959
Total,150133,150143,5373
Total,150134,070101,375
Total,150134,070102,61
Total,150134,070103,7
Total,150134,070104,19
Total,150134,070105,5
Total,150134,070106,24
Total,150134,150101,2357
Total,150134,150102,7
Total,150134,150103,1676
Total,150134,150104,118
Total,150134,150105,335
Total,150134,150106,8
Total,150134,150107,15
Total,150134,150108,317
Total,150134,150109,9
Total,150134,150110,56
Total,150134,150111,192
Total,150134,150112,76
Total,150134,150113,828
Total,150134,150114,1132
Total,150134,150115,3889
Total,150134,150116,816
Total,150134,150117,167
Total,150134,150118,144
Total,150134,150119,157
Total,150134,150120,211
Total,150134,150121,280
Total,150134,150122,1084
Total,150134,150123,52
Total,150134,150124,13
Total,150134,150125,30
Total,150134,150126,2
Total,150134,150127,1
Total,150134,150128,136
Total,150134,150129,2
Total,150134,150130,2486
Total,150134,150131,1582
Total,150134,150132,314
Total,150134,150133,156
Total,150134,150134,14468
Total,150134,150135,136
Total,150134,150136,392
Total,150134,150137,605
Total,150134,150139,1
Total,150134,150140,1888
Total,150134,150141,492
Total,150134,150142,210
Total,150134,150143,74
Total,150135,070101,31176
Total,150135,070102,1778
Total,150135,070103,888
Total,150135,070104,686
Total,150135,070105,220
Total,150135,070106,2158
Total,150135,070107,29
Total,150135,150101,37885
Total,150135,150102,437
Total,150135,150103,3427
Total,150135,150104,864
Total,150135,150105,6088
Total,150135,150106,1268
Total,150135,150107,94
Total,150135,150108,2375
Total,150135,150109,67
Total,150135,150110,6450
Total,150135,150111,1193
Total,150135,150112,11006
Total,150135,150113,8689
Total,150135,150114,3892
Total,150135,150115,7250
Total,150135,150116,4761
Total,150135,150117,40489
Total,150135,150118,1299
Total,150135,150119,1140
Total,150135,150120,2842
Total,150135,150121,4567
Total,150135,150122,8170
Total,150135,150123,229
Total,150135,150124,84
Total,150135,150125,3138
Total,150135,150126,68
Total,150135,150127,31
Total,150135,150128,5376
Total,150135,150129,45
Total,150135,150130,3998
Total,150135,150131,11749
Total,150135,150132,3234
Total,150135,150133,697
Total,150135,150134,1064
Total,150135,150135,217267
Total,150135,150136,9903
Total,150135,150137,3032
Total,150135,150138,3
Total,150135,150139,35
Total,150135,150140,6265
Total,150135,150141,2701
Total,150135,150142,953
Total,150135,150143,346
Total,150136,070101,6092
Total,150136,070102,1567
Total,150136,070103,220
Total,150136,070104,805
Total,150136,070105,180
Total,150136,070106,331
Total,150136,070107,4
Total,150136,150101,8729
Total,150136,150102,44
Total,150136,150103,894
Total,150136,150104,401
Total,150136,150105,2140
Total,150136,150106,81
Total,150136,150107,21
Total,150136,150108,1113
Total,150136,150109,17
Total,150136,150110,315
Total,150136,150111,230
Total,150136,150112,354
Total,150136,150113,4720
Total,150136,150114,1932
Total,150136,150115,1616
Total,150136,150116,1860
Total,150136,150117,989
Total,150136,150118,202
Total,150136,150119,342
Total,150136,150120,5294
Total,150136,150121,4079
Total,150136,150122,5590
Total,150136,150123,89
Total,150136,150124,18
Total,150136,150125,199
Total,150136,150126,17
Total,150136,150127,2
Total,150136,150128,446
Total,150136,150129,10
Total,150136,150130,1973
Total,150136,150131,8530
Total,150136,150132,488
Total,150136,150133,161
Total,150136,150134,295
Total,150136,150135,949
Total,150136,150136,44771
Total,150136,150137,508
Total,150136,150138,4
Total,150136,150139,3
Total,150136,150140,3175
Total,150136,150141,1240
Total,150136,150142,297
Total,150136,150143,82
Total,150137,070101,1340
Total,150137,070102,90
Total,150137,070103,21
Total,150137,070104,55
Total,150137,070105,16
Total,150137,070106,106
Total,150137,070107,3
Total,150137,150101,8090
Total,150137,150102,41
Total,150137,150103,11930
Total,150137,150104,178
Total,150137,150105,897
Total,150137,150106,82
Total,150137,150107,121
Total,150137,150108,741
Total,150137,150109,98
Total,150137,150110,238
Total,150137,150111,2713
Total,150137,150112,506
Total,150137,150113,1598
Total,150137,150114,6326
Total,150137,150115,6081
Total,150137,150116,1635
Total,150137,150117,1078
Total,150137,150118,1476
Total,150137,150119,549
Total,150137,150120,443
Total,150137,150121,563
Total,150137,150122,1757
Total,150137,150123,221
Total,150137,150124,16
Total,150137,150125,229
Total,150137,150126,34
Total,150137,150127,4
Total,150137,150128,738
Total,150137,150129,14
Total,150137,150130,1839
Total,150137,150131,2415
Total,150137,150132,2370
Total,150137,150133,339
Total,150137,150134,1615
Total,150137,150135,645
Total,150137,150136,827
Total,150137,150137,76315
Total,150137,150139,6
Total,150137,150140,3367
Total,150137,150141,757
Total,150137,150142,471
Total,150137,150143,244
Total,150138,070101,1
Total,150138,070105,1
Total,150138,150101,13
Total,150138,150103,3
Total,150138,150104,3
Total,150138,150105,1
Total,150138,150107,3
Total,150138,150108,7
Total,150138,150111,1
Total,150138,150113,6
Total,150138,150114,11
Total,150138,150115,3
Total,150138,150116,6
Total,150138,150117,2
Total,150138,150119,55
Total,150138,150120,1
Total,150138,150121,3
Total,150138,150122,15
Total,150138,150123,5
Total,150138,150124,4
Total,150138,150126,8
Total,150138,150127,13
Total,150138,150129,124
Total,150138,150130,6
Total,150138,150131,12
Total,150138,150132,4
Total,150138,150133,7
Total,150138,150134,1
Total,150138,150135,2
Total,150138,150136,2
Total,150138,150137,1
Total,150138,150138,288
Total,150138,150139,1
Total,150138,150140,29
Total,150138,150141,3
Total,150138,150142,14
Total,150138,150143,1
Total,150139,070101,633
Total,150139,070102,48
Total,150139,070103,32
Total,150139,070104,25
Total,150139,070105,13
Total,150139,070106,1241
Total,150139,070107,19
Total,150139,150101,853
Total,150139,150102,1014
Total,150139,150103,83
Total,150139,150104,27
Total,150139,150105,104
Total,150139,150106,91
Total,150139,150107,3
Total,150139,150108,53
Total,150139,150109,5
Total,150139,150110,295
Total,150139,150111,30
Total,150139,150112,236
Total,150139,150113,131
Total,150139,150114,98
Total,150139,150115,209
Total,150139,150116,80
Total,150139,150117,1137
Total,150139,150118,39
Total,150139,150119,32
Total,150139,150120,47
Total,150139,150121,54
Total,150139,150122,163
Total,150139,150123,8
Total,150139,150124,2
Total,150139,150125,1339
Total,150139,150126,4
Total,150139,150128,66
Total,150139,150129,4
Total,150139,150130,104
Total,150139,150131,193
Total,150139,150132,133
Total,150139,150133,63
Total,150139,150134,33
Total,150139,150135,400
Total,150139,150136,163
Total,150139,150137,76
Total,150139,150139,8205
Total,150139,150140,173
Total,150139,150141,57
Total,150139,150142,66
Total,150139,150143,19
Total,150140,070101,3354
Total,150140,070102,215
Total,150140,070103,81
Total,150140,070104,104
Total,150140,070105,108
Total,150140,070106,134
Total,150140,150101,10376
Total,150140,150102,49
Total,150140,150103,3277
Total,150140,150104,6538
Total,150140,150105,1088
Total,150140,150106,59
Total,150140,150107,49
Total,150140,150108,10002
Total,150140,150109,63
Total,150140,150110,292
Total,150140,150111,491
Total,150140,150112,390
Total,150140,150113,5309
Total,150140,150114,9901
Total,150140,150115,3876
Total,150140,150116,2678
Total,150140,150117,942
Total,150140,150118,573
Total,150140,150119,1470
Total,150140,150120,1597
Total,150140,150121,1436
Total,150140,150122,20230
Total,150140,150123,447
Total,150140,150124,74
Total,150140,150125,195
Total,150140,150126,88
Total,150140,150127,31
Total,150140,150128,578
Total,150140,150129,56
Total,150140,150130,8235
Total,150140,150131,17259
Total,150140,150132,1158
Total,150140,150133,3801
Total,150140,150134,1116
Total,150140,150135,889
Total,150140,150136,2840
Total,150140,150137,1231
Total,150140,150138,7
Total,150140,150139,6
Total,150140,150140,107984
Total,150140,150141,5635
Total,150140,150142,2517
Total,150140,150143,1312
Total,150141,070101,778
Total,150141,070102,61
Total,150141,070103,14
Total,150141,070104,26
Total,150141,070105,12
Total,150141,070106,49
Total,150141,070107,1
Total,150141,150101,3406
Total,150141,150102,13
Total,150141,150103,600
Total,150141,150104,699
Total,150141,150105,418
Total,150141,150106,20
Total,150141,150107,17
Total,150141,150108,1298
Total,150141,150109,20
Total,150141,150110,75
Total,150141,150111,122
Total,150141,150112,107
Total,150141,150113,1474
Total,150141,150114,1463
Total,150141,150115,1217
Total,150141,150116,1131
Total,150141,150117,292
Total,150141,150118,105
Total,150141,150119,259
Total,150141,150120,514
Total,150141,150121,455
Total,150141,150122,7974
Total,150141,150123,109
Total,150141,150124,12
Total,150141,150125,52
Total,150141,150126,14
Total,150141,150127,3
Total,150141,150128,181
Total,150141,150129,11
Total,150141,150130,3526
Total,150141,150131,5821
Total,150141,150132,311
Total,150141,150133,455
Total,150141,150134,318
Total,150141,150135,238
Total,150141,150136,777
Total,150141,150137,328
Total,150141,150138,1
Total,150141,150139,1
Total,150141,150140,5481
Total,150141,150141,23978
Total,150141,150142,381
Total,150141,150143,185
Total,150142,070101,1749
Total,150142,070102,101
Total,150142,070103,28
Total,150142,070104,71
Total,150142,070105,27
Total,150142,070106,123
Total,150142,070107,1
Total,150142,150101,10071
Total,150142,150102,110
Total,150142,150103,2355
Total,150142,150104,1095
Total,150142,150105,950
Total,150142,150106,82
Total,150142,150107,60
Total,150142,150108,7201
Total,150142,150109,80
Total,150142,150110,310
Total,150142,150111,467
Total,150142,150112,366
Total,150142,150113,2083
Total,150142,150114,2723
Total,150142,150115,4795
Total,150142,150116,2001
Total,150142,150117,1244
Total,150142,150118,735
Total,150142,150119,6283
Total,150142,150120,809
Total,150142,150121,788
Total,150142,150122,7880
Total,150142,150123,902
Total,150142,150124,125
Total,150142,150125,279
Total,150142,150126,401
Total,150142,150127,103
Total,150142,150128,721
Total,150142,150129,144
Total,150142,150130,4599
Total,150142,150131,5372
Total,150142,150132,1553
Total,150142,150133,9456
Total,150142,150134,1480
Total,150142,150135,647
Total,150142,150136,1067
Total,150142,150137,2027
Total,150142,150138,3
Total,150142,150139,6
Total,150142,150140,13423
Total,150142,150141,3769
Total,150142,150142,169955
Total,150142,150143,6567
Total,150143,070101,1847
Total,150143,070102,95
Total,150143,070103,29
Total,150143,070104,56
Total,150143,070105,32
Total,150143,070106,135
Total,150143,150101,9280
Total,150143,150102,80
Total,150143,150103,2476
Total,150143,150104,1456
Total,150143,150105,963
Total,150143,150106,117
Total,150143,150107,54
Total,150143,150108,6464
Total,150143,150109,102
Total,150143,150110,281
Total,150143,150111,458
Total,150143,150112,346
Total,150143,150113,2263
Total,150143,150114,3293
Total,150143,150115,4395
Total,150143,150116,2263
Total,150143,150117,1106
Total,150143,150118,649
Total,150143,150119,4233
Total,150143,150120,842
Total,150143,150121,911
Total,150143,150122,10466
Total,150143,150123,1072
Total,150143,150124,90
Total,150143,150125,246
Total,150143,150126,245
Total,150143,150127,71
Total,150143,150128,590
Total,150143,150129,122
Total,150143,150130,5858
Total,150143,150131,6401
Total,150143,150132,1700
Total,150143,150133,14635
Total,150143,150134,1431
Total,150143,150135,651
Total,150143,150136,1154
Total,150143,150137,1859
Total,150143,150138,5
Total,150143,150139,5
Total,150143,150140,18208
Total,150143,150141,5111
Total,150143,150142,13449
Total,150143,150143,151007
Study,070101,070101,88452
Study,070101,070102,2715
Study,070101,070103,681
Study,070101,070104,661
Study,070101,070105,202
Study,070101,070106,822
Study,070101,070107,7
Study,070101,150101,7871
Study,070101,150102,11
Study,070101,150103,76
Study,070101,150104,69
Study,070101,150105,1462
Study,070101,150106,15
Study,070101,150107,10
Study,070101,150108,210
Study,070101,150109,2
Study,070101,150110,426
Study,070101,150111,109
Study,070101,150112,1143
Study,070101,150113,1711
Study,070101,150114,776
Study,070101,150115,246
Study,070101,150116,951
Study,070101,150117,4971
Study,070101,150118,83
Study,070101,150119,24
Study,070101,150120,523
Study,070101,150121,1502
Study,070101,150122,701
Study,070101,150123,40
Study,070101,150125,114
Study,070101,150128,419
Study,070101,150129,6
Study,070101,150130,299
Study,070101,150131,1398
Study,070101,150132,144
Study,070101,150133,21
Study,070101,150134,74
Study,070101,150135,4679
Study,070101,150136,5262
Study,070101,150137,275
Study,070101,150139,13
Study,070101,150140,756
Study,070101,150141,290
Study,070101,150142,46
Study,070101,150143,20
Study,070102,070101,1013
Study,070102,070102,10877
Study,070102,070103,31
Study,070102,070104,731
Study,070102,070105,65
Study,070102,070106,33
