type,origin,destination,flow
Total,070106,150140,1182
Total,070106,150141,482
Total,070106,150142,430
Total,070106,150143,123
Total,070107,070101,2692
Total,070107,070102,353
Total,070107,070103,238
Total,070107,070104,116
Total,070107,070105,48
Total,070107,070106,3225
Total,070107,070107,15985
Total,070107,150101,1547
Total,070107,150102,96
Total,070107,150103,105
Total,070107,150104,30
Total,070107,150105,201
Total,070107,150106,68
Total,070107,150107,8
Total,070107,150108,59
Total,070107,150109,4
Total,070107,150110,183
Total,070107,150111,27
Total,070107,150112,200
Total,070107,150113,236
Total,070107,150114,108
Total,070107,150115,216
Total,070107,150116,181
Total,070107,150117,950
Total,070107,150118,75
Total,070107,150119,59
Total,070107,150120,165
Total,070107,150121,163
Total,070107,150122,233
Total,070107,150123,8
Total,070107,150124,12
Total,070107,150125,1191
Total,070107,150126,6
Total,070107,150127,2
Total,070107,150128,66
Total,070107,150129,2
Total,070107,150130,123
Total,070107,150131,343
Total,070107,150132,96
Total,070107,150133,24
Total,070107,150134,25
Total,070107,150135,419
Total,070107,150136,730
Total,070107,150137,75
Total,070107,150139,8
Total,070107,150140,168
Total,070107,150141,61
Total,070107,150142,60
Total,070107,150143,13
Total,150101,070101,5147
Total,150101,070102,686
Total,150101,070103,326
Total,150101,070104,184
Total,150101,070105,72
Total,150101,070106,313
Total,150101,070107,4
Total,150101,150101,103699
Total,150101,150102,86
Total,150101,150103,1819
Total,150101,150104,510
Total,150101,150105,8109
Total,150101,150106,138
Total,150101,150107,44
Total,150101,150108,1211
Total,150101,150109,21
Total,150101,150110,670
Total,150101,150111,1394
Total,150101,150112,902
Total,150101,150113,6305
Total,150101,150114,2014
Total,150101,150115,5325
Total,150101,150116,3924
Total,150101,150117,2403
Total,150101,150118,531
Total,150101,150119,453
Total,150101,150120,1713
Total,150101,150121,4310
Total,150101,150122,4767
Total,150101,150123,111
Total,150101,150124,28
Total,150101,150125,410
Total,150101,150126,17
Total,150101,150127,11
Total,150101,150128,1408
Total,150101,150129,17
Total,150101,150130,2234
Total,150101,150131,7366
Total,150101,150132,2098
Total,150101,150133,372
Total,150101,150134,776
Total,150101,150135,2638
Total,150101,150136,5704
Total,150101,150137,1297
Total,150101,150138,3
Total,150101,150139,9
Total,150101,150140,3139
Total,150101,150141,1383
Total,150101,150142,474
Total,150101,150143,186
Total,150102,070101,726
Total,150102,070102,39
Total,150102,070103,20
Total,150102,070104,19
Total,150102,070105,13
Total,150102,070106,1008
Total,150102,070107,14
Total,150102,150101,1624
Total,150102,150102,24015
Total,150102,150103,181
Total,150102,150104,54
Total,150102,150105,165
Total,150102,150106,209
Total,150102,150107,11
Total,150102,150108,169
Total,150102,150109,7
Total,150102,150110,679
Total,150102,150111,63
Total,150102,150112,492
Total,150102,150113,305
Total,150102,150114,164
Total,150102,150115,364
Total,150102,150116,168
Total,150102,150117,2708
Total,150102,150118,98
Total,150102,150119,86
Total,150102,150120,96
Total,150102,150121,132
Total,150102,150122,334
Total,150102,150123,28
Total,150102,150124,6
Total,150102,150125,3089
Total,150102,150126,4
Total,150102,150127,1
Total,150102,150128,170
Total,150102,150129,5
Total,150102,150130,180
Total,150102,150131,444
Total,150102,150132,272
Total,150102,150133,73
Total,150102,150134,63
Total,150102,150135,702
Total,150102,150136,201
Total,150102,150137,185
Total,150102,150139,309
Total,150102,150140,316
Total,150102,150141,91
Total,150102,150142,130
Total,150102,150143,41
Total,150103,070101,3153
Total,150103,070102,239
Total,150103,070103,58
Total,150103,070104,106
Total,150103,070105,62
Total,150103,070106,254
Total,150103,070107,3
Total,150103,150101,18255
Total,150103,150102,112
Total,150103,150103,270555
Total,150103,150104,511
Total,150103,150105,1747
Total,150103,150106,190
Total,150103,150107,3249
Total,150103,150108,1803
Total,150103,150109,275
Total,150103,150110,529
Total,150103,150111,2082
Total,150103,150112,1107
Total,150103,150113,3520
Total,150103,150114,16618
Total,150103,150115,12543
Total,150103,150116,3260
Total,150103,150117,1903
Total,150103,150118,9431
Total,150103,150119,1405
Total,150103,150120,937
Total,150103,150121,1194
Total,150103,150122,4573
Total,150103,150123,534
Total,150103,150124,45
Total,150103,150125,504
Total,150103,150126,62
Total,150103,150127,27
Total,150103,150128,1521
Total,150103,150129,57
Total,150103,150130,5061
Total,150103,150131,6453
Total,150103,150132,4944
Total,150103,150133,865
Total,150103,150134,4640
Total,150103,150135,1376
Total,150103,150136,2164
Total,150103,150137,18611
Total,150103,150138,6
Total,150103,150139,16
Total,150103,150140,9100
Total,150103,150141,1816
Total,150103,150142,1250
Total,150103,150143,476
Total,150104,070101,321
Total,150104,070102,16
Total,150104,070103,5
Total,150104,070104,9
Total,150104,070105,9
Total,150104,070106,26
Total,150104,150101,1357
Total,150104,150102,2
Total,150104,150103,175
Total,150104,150104,9497
Total,150104,150105,147
Total,150104,150106,9
Total,150104,150107,3
Total,150104,150108,1384
Total,150104,150109,3
Total,150104,150110,35
Total,150104,150111,30
Total,150104,150112,45
Total,150104,150113,511
Total,150104,150114,443
Total,150104,150115,335
Total,150104,150116,359
Total,150104,150117,101
Total,150104,150118,45
Total,150104,150119,108
Total,150104,150120,247
Total,150104,150121,176
Total,150104,150122,2916
Total,150104,150123,38
Total,150104,150124,3
Total,150104,150125,24
Total,150104,150126,4
Total,150104,150128,46
Total,150104,150129,3
Total,150104,150130,561
Total,150104,150131,1891
Total,150104,150132,79
Total,150104,150133,157
Total,150104,150134,67
Total,150104,150135,89
Total,150104,150136,366
Total,150104,150137,67
Total,150104,150140,1852
Total,150104,150141,513
Total,150104,150142,154
Total,150104,150143,58
Total,150105,070101,1275
Total,150105,070102,201
Total,150105,070103,36
Total,150105,070104,84
Total,150105,070105,29
Total,150105,070106,90
Total,150105,070107,2
Total,150105,150101,8294
Total,150105,150102,21
Total,150105,150103,593
Total,150105,150104,192
Total,150105,150105,25212
Total,150105,150106,48
Total,150105,150107,19
Total,150105,150108,467
Total,150105,150109,7
Total,150105,150110,203
Total,150105,150111,198
Total,150105,150112,274
Total,150105,150113,3622
Total,150105,150114,690
Total,150105,150115,1470
Total,150105,150116,1444
Total,150105,150117,650
Total,150105,150118,140
Total,150105,150119,130
Total,150105,150120,909
Total,150105,150121,3117
Total,150105,150122,2070
Total,150105,150123,42
Total,150105,150124,4
Total,150105,150125,133
Total,150105,150126,7
Total,150105,150127,3
Total,150105,150128,404
Total,150105,150129,7
Total,150105,150130,869
Total,150105,150131,2868
Total,150105,150132,490
Total,150105,150133,126
Total,150105,150134,184
Total,150105,150135,586
Total,150105,150136,1894
Total,150105,150137,359
Total,150105,150138,1
Total,150105,150139,6
Total,150105,150140,1247
Total,150105,150141,576
Total,150105,150142,149
Total,150105,150143,43
Total,150106,070101,4783
Total,150106,070102,409
Total,150106,070103,175
Total,150106,070104,137
Total,150106,070105,71
Total,150106,070106,896
Total,150106,070107,13
Total,150106,150101,11972
Total,150106,150102,536
Total,150106,150103,1202
Total,150106,150104,316
Total,150106,150105,1393
Total,150106,150106,126254
Total,150106,150107,32
Total,150106,150108,857
Total,150106,150109,37
Total,150106,150110,16876
Total,150106,150111,439
Total,150106,150112,4926
Total,150106,150113,2080
Total,150106,150114,1183
Total,150106,150115,2394
Total,150106,150116,1268
Total,150106,150117,14841
Total,150106,150118,614
Total,150106,150119,442
Total,150106,150120,703
Total,150106,150121,1017
Total,150106,150122,2599
Total,150106,150123,97
Total,150106,150124,50
Total,150106,150125,9933
Total,150106,150126,36
Total,150106,150127,13
Total,150106,150128,1378
Total,150106,150129,25
Total,150106,150130,1171
Total,150106,150131,3212
Total,150106,150132,1322
Total,150106,150133,238
Total,150106,150134,335
Total,150106,150135,4331
Total,150106,150136,2055
Total,150106,150137,1117
Total,150106,150138,3
Total,150106,150139,65
Total,150106,150140,2095
Total,150106,150141,763
Total,150106,150142,407
Total,150106,150143,146
Total,150107,070101,207
Total,150107,070102,16
Total,150107,070103,4
Total,150107,070104,5
Total,150107,070105,5
Total,150107,070106,18
Total,150107,150101,1617
Total,150107,150102,15
Total,150107,150103,3136
Total,150107,150104,42
Total,150107,150105,103
Total,150107,150106,10
Total,150107,150107,15244
Total,150107,150108,121
Total,150107,150109,3
Total,150107,150110,18
Total,150107,150111,86
Total,150107,150112,73
Total,150107,150113,237
Total,150107,150114,797
Total,150107,150115,258
Total,150107,150116,181
Total,150107,150117,128
Total,150107,150118,3365
Total,150107,150119,85
Total,150107,150120,65
Total,150107,150121,98
Total,150107,150122,369
Total,150107,150123,21
Total,150107,150124,4
Total,150107,150125,34
Total,150107,150126,4
Total,150107,150127,2
Total,150107,150128,88
Total,150107,150129,6
Total,150107,150130,280
Total,150107,150131,506
Total,150107,150132,246
Total,150107,150133,48
Total,150107,150134,124
Total,150107,150135,78
Total,150107,150136,119
Total,150107,150137,824
Total,150107,150140,643
Total,150107,150141,102
Total,150107,150142,56
Total,150107,150143,21
Total,150108,070101,1735
Total,150108,070102,111
Total,150108,070103,29
Total,150108,070104,62
Total,150108,070105,45
Total,150108,070106,117
Total,150108,150101,9686
Total,150108,150102,67
Total,150108,150103,1518
Total,150108,150104,6312
Total,150108,150105,1050
Total,150108,150106,79
Total,150108,150107,44
Total,150108,150108,134731
Total,150108,150109,60
Total,150108,150110,272
Total,150108,150111,299
Total,150108,150112,329
Total,150108,150113,3172
Total,150108,150114,2471
Total,150108,150115,2466
Total,150108,150116,2425
Total,150108,150117,810
Total,150108,150118,432
Total,150108,150119,1674
Total,150108,150120,958
Total,150108,150121,970
Total,150108,150122,12111
Total,150108,150123,367
Total,150108,150124,64
Total,150108,150125,166
Total,150108,150126,100
Total,150108,150127,21
Total,150108,150128,716
Total,150108,150129,89
Total,150108,150130,3817
Total,150108,150131,7832
Total,150108,150132,819
Total,150108,150133,4731
Total,150108,150134,611
Total,150108,150135,556
Total,150108,150136,1370
Total,150108,150137,884
Total,150108,150138,4
Total,150108,150139,6
Total,150108,150140,10269
Total,150108,150141,3218
Total,150108,150142,4244
Total,150108,150143,1042
Total,150109,070101,109
Total,150109,070102,11
Total,150109,070103,2
Total,150109,070104,6
Total,150109,070105,4
Total,150109,070106,10
Total,150109,150101,723
Total,150109,150102,2
Total,150109,150103,826
Total,150109,150104,23
Total,150109,150105,58
Total,150109,150106,6
Total,150109,150107,7
Total,150109,150108,99
Total,150109,150109,13049
Total,150109,150110,21
Total,150109,150111,53
Total,150109,150112,28
Total,150109,150113,138
Total,150109,150114,3407
Total,150109,150115,349
Total,150109,150116,253
Total,150109,150117,77
Total,150109,150118,110
Total,150109,150119,81
Total,150109,150120,58
Total,150109,150121,61
Total,150109,150122,311
Total,150109,150123,1356
Total,150109,150124,2
Total,150109,150125,19
Total,150109,150126,6
Total,150109,150127,2
Total,150109,150128,37
Total,150109,150129,5
Total,150109,150130,374
Total,150109,150131,329
Total,150109,150132,150
Total,150109,150133,78
Total,150109,150134,132
Total,150109,150135,49
Total,150109,150136,94
Total,150109,150137,533
Total,150109,150140,556
Total,150109,150141,107
Total,150109,150142,100
Total,150109,150143,40
Total,150110,070101,9021
Total,150110,070102,619
Total,150110,070103,272
Total,150110,070104,244
Total,150110,070105,90
Total,150110,070106,1052
Total,150110,070107,13
Total,150110,150101,22288
Total,150110,150102,601
Total,150110,150103,2153
Total,150110,150104,565
Total,150110,150105,2633
Total,150110,150106,7854
Total,150110,150107,60
Total,150110,150108,1625
Total,150110,150109,61
Total,150110,150110,205037
Total,150110,150111,658
Total,150110,150112,9464
Total,150110,150113,4626
Total,150110,150114,2133
Total,150110,150115,4595
Total,150110,150116,2610
Total,150110,150117,26442
Total,150110,150118,903
Total,150110,150119,760
Total,150110,150120,1366
Total,150110,150121,1917
Total,150110,150122,5338
Total,150110,150123,134
Total,150110,150124,78
Total,150110,150125,4500
Total,150110,150126,48
Total,150110,150127,11
Total,150110,150128,2721
Total,150110,150129,38
Total,150110,150130,2410
Total,150110,150131,7078
Total,150110,150132,2032
Total,150110,150133,411
Total,150110,150134,662
Total,150110,150135,8106
Total,150110,150136,3984
Total,150110,150137,1816
Total,150110,150138,1
Total,150110,150139,36
Total,150110,150140,3639
Total,150110,150141,1602
Total,150110,150142,605
Total,150110,150143,193
Total,150111,070101,1713
Total,150111,070102,134
Total,150111,070103,28
Total,150111,070104,51
Total,150111,070105,38
Total,150111,070106,137
Total,150111,070107,1
Total,150111,150101,14464
Total,150111,150102,67
Total,150111,150103,5254
Total,150111,150104,216
Total,150111,150105,1500
Total,150111,150106,72
Total,150111,150107,45
Total,150111,150108,734
Total,150111,150109,48
Total,150111,150110,340
Total,150111,150111,62587
Total,150111,150112,510
Total,150111,150113,2333
Total,150111,150114,2400
Total,150111,150115,11467
Total,150111,150116,2257
Total,150111,150117,1175
Total,150111,150118,1022
Total,150111,150119,414
Total,150111,150120,531
Total,150111,150121,788
Total,150111,150122,1833
Total,150111,150123,149
Total,150111,150124,26
Total,150111,150125,257
Total,150111,150126,25
Total,150111,150127,12
Total,150111,150128,1007
Total,150111,150129,15
Total,150111,150130,1751
Total,150111,150131,2443
Total,150111,150132,7374
Total,150111,150133,436
Total,150111,150134,2336
Total,150111,150135,816
Total,150111,150136,973
Total,150111,150137,6518
Total,150111,150138,1
Total,150111,150139,10
Total,150111,150140,2544
Total,150111,150141,841
Total,150111,150142,478
Total,150111,150143,289
Total,150112,070101,3836
Total,150112,070102,233
Total,150112,070103,106
Total,150112,070104,82
Total,150112,070105,51
Total,150112,070106,368
Total,150112,070107,2
Total,150112,150101,10312
Total,150112,150102,146
Total,150112,150103,984
Total,150112,150104,276
Total,150112,150105,1625
Total,150112,150106,613
Total,150112,150107,20
Total,150112,150108,794
Total,150112,150109,17
Total,150112,150110,3626
Total,150112,150111,334
Total,150112,150112,77061
Total,150112,150113,1991
Total,150112,150114,915
Total,150112,150115,2555
Total,150112,150116,1231
Total,150112,150117,10448
Total,150112,150118,378
Total,150112,150119,378
Total,150112,150120,554
Total,150112,150121,807
Total,150112,150122,2488
Total,150112,150123,73
Total,150112,150124,23
Total,150112,150125,1251
Total,150112,150126,19
Total,150112,150127,4
Total,150112,150128,2291
Total,150112,150129,15
Total,150112,150130,1083
Total,150112,150131,3101
Total,150112,150132,1062
Total,150112,150133,187
Total,150112,150134,333
Total,150112,150135,6116
Total,150112,150136,1459
Total,150112,150137,967
Total,150112,150138,1
Total,150112,150139,12
Total,150112,150140,1616
Total,150112,150141,732
Total,150112,150142,297
Total,150112,150143,102
Total,150113,070101,1093
Total,150113,070102,134
Total,150113,070103,37
Total,150113,070104,53
Total,150113,070105,33
Total,150113,070106,75
Total,150113,150101,5438
Total,150113,150102,17
Total,150113,150103,468
Total,150113,150104,237
Total,150113,150105,1754
Total,150113,150106,40
Total,150113,150107,14
Total,150113,150108,612
Total,150113,150109,14
Total,150113,150110,134
Total,150113,150111,171
Total,150113,150112,161
Total,150113,150113,18940
Total,150113,150114,1231
Total,150113,150115,1313
Total,150113,150116,1663
Total,150113,150117,393
Total,150113,150118,115
Total,150113,150119,139
Total,150113,150120,1116
Total,150113,150121,2284
Total,150113,150122,2894
Total,150113,150123,45
Total,150113,150124,8
Total,150113,150125,65
Total,150113,150126,10
Total,150113,150127,1
Total,150113,150128,289
Total,150113,150129,3
Total,150113,150130,1142
Total,150113,150131,5508
Total,150113,150132,313
Total,150113,150133,125
Total,150113,150134,167
Total,150113,150135,481
Total,150113,150136,2164
Total,150113,150137,241
Total,150113,150139,3
Total,150113,150140,1908
Total,150113,150141,645
Total,150113,150142,159
Total,150113,150143,58
Total,150114,070101,1265
Total,150114,070102,117
Total,150114,070103,42
Total,150114,070104,46
Total,150114,070105,40
Total,150114,070106,94
Total,150114,070107,1
Total,150114,150101,4615
Total,150114,150102,34
Total,150114,150103,5671
Total,150114,150104,342
Total,150114,150105,458
Total,150114,150106,47
Total,150114,150107,55
Total,150114,150108,1225
Total,150114,150109,285
Total,150114,150110,160
Total,150114,150111,397
Total,150114,150112,181
Total,150114,150113,2212
Total,150114,150114,46240
Total,150114,150115,2257
Total,150114,150116,1251
Total,150114,150117,442
Total,150114,150118,501
Total,150114,150119,450
Total,150114,150120,602
Total,150114,150121,533
Total,150114,150122,4207
Total,150114,150123,621
Total,150114,150124,19
Total,150114,150125,143
Total,150114,150126,22
Total,150114,150127,14
Total,150114,150128,324
Total,150114,150129,15
Total,150114,150130,3171
Total,150114,150131,6529
Total,150114,150132,814
Total,150114,150133,354
Total,150114,150134,665
Total,150114,150135,613
Total,150114,150136,1270
Total,150114,150137,1907
Total,150114,150138,5
Total,150114,150139,1
Total,150114,150140,10152
Total,150114,150141,1126
Total,150114,150142,469
Total,150114,150143,182
Total,150115,070101,1117
Total,150115,070102,93
Total,150115,070103,17
Total,150115,070104,47
Total,150115,070105,20
Total,150115,070106,79
Total,150115,070107,1
Total,150115,150101,9141
Total,150115,150102,23
Total,150115,150103,1776
Total,150115,150104,292
Total,150115,150105,1462
Total,150115,150106,55
Total,150115,150107,33
Total,150115,150108,733
Total,150115,150109,30
Total,150115,150110,190
Total,150115,150111,653
Total,150115,150112,256
Total,150115,150113,3150
Total,150115,150114,1847
Total,150115,150115,70593
Total,150115,150116,4251
Total,150115,150117,645
Total,150115,150118,267
Total,150115,150119,213
Total,150115,150120,638
Total,150115,150121,946
Total,150115,150122,2695
Total,150115,150123,97
Total,150115,150124,11
Total,150115,150125,152
Total,150115,150126,14
Total,150115,150127,3
Total,150115,150128,514
Total,150115,150129,6
Total,150115,150130,2912
Total,150115,150131,4104
Total,150115,150132,1157
Total,150115,150133,298
Total,150115,150134,2896
Total,150115,150135,488
Total,150115,150136,1152
Total,150115,150137,1377
Total,150115,150138,3
Total,150115,150139,1
Total,150115,150140,2662
Total,150115,150141,1106
Total,150115,150142,351
Total,150115,150143,205
Total,150116,070101,581
Total,150116,070102,77
Total,150116,070103,14
Total,150116,070104,30
Total,150116,070105,13
Total,150116,070106,37
Total,150116,150101,3343
Total,150116,150102,12
Total,150116,150103,416
Total,150116,150104,200
Total,150116,150105,538
Total,150116,150106,16
Total,150116,150107,14
Total,150116,150108,436
Total,150116,150109,5
Total,150116,150110,67
Total,150116,150111,98
Total,150116,150112,99
Total,150116,150113,2750
Total,150116,150114,883
Total,150116,150115,1344
Total,150116,150116,14990
Total,150116,150117,244
Total,150116,150118,84
Total,150116,150119,96
Total,150116,150120,487
Total,150116,150121,663
Total,150116,150122,2237
Total,150116,150123,35
Total,150116,150124,6
Total,150116,150125,48
Total,150116,150126,8
Total,150116,150127,2
Total,150116,150128,185
Total,150116,150129,4
Total,150116,150130,943
Total,150116,150131,4393
Total,150116,150132,235
Total,150116,150133,106
Total,150116,150134,189
Total,150116,150135,246
Total,150116,150136,897
Total,150116,150137,200
Total,150116,150139,1
Total,150116,150140,1426
Total,150116,150141,571
Total,150116,150142,139
Total,150116,150143,47
Total,150117,070101,8317
Total,150117,070102,658
Total,150117,070103,343
Total,150117,070104,248
Total,150117,070105,89
Total,150117,070106,937
Total,150117,070107,17
Total,150117,150101,16506
Total,150117,150102,432
Total,150117,150103,1715
Total,150117,150104,458
Total,150117,150105,1972
Total,150117,150106,1004
Total,150117,150107,52
Total,150117,150108,1205
Total,150117,150109,29
Total,150117,150110,6544
Total,150117,150111,534
Total,150117,150112,7222
Total,150117,150113,3923
Total,150117,150114,2208
Total,150117,150115,3441
Total,150117,150116,1981
Total,150117,150117,124957
Total,150117,150118,679
Total,150117,150119,571
Total,150117,150120,1202
Total,150117,150121,1853
Total,150117,150122,4337
